Timestamp,CPU_%,Mem_Used_MB
13:30:38,50,6.66
13:30:39,33.3,6.69
13:30:40,33.3,6.70
13:30:42,33.3,6.70
13:30:43,33.3,6.69
13:30:44,30.8,6.73
13:30:45,30,6.71
13:30:47,18.2,6.73
13:30:48,27.3,6.71
13:30:49,33.3,6.67
13:30:50,20,6.67
13:30:51,25,6.67
13:30:53,20,6.67
13:30:54,0,6.67
13:30:55,27.3,6.66
13:30:56,30.8,6.66
13:30:58,27.3,6.65
13:30:59,30.8,6.65
13:31:00,20,6.60
13:31:01,20,6.60
13:31:02,20,6.61
13:31:04,33.3,6.61
13:31:05,27.3,6.61
13:31:06,30,6.64
13:31:07,33.3,6.64
13:31:09,25,6.64
13:31:10,20,6.58
13:31:11,25,6.58
13:31:12,40,6.60
13:31:13,20,6.60
13:31:15,33.3,6.60
13:31:16,25,6.61
13:31:17,27.3,6.61
13:31:18,36.4,6.65
13:31:20,53.8,6.65
13:31:21,42.9,6.65
13:31:22,33.3,6.66
13:31:23,40,6.65
13:31:24,0,6.66
13:31:26,30.8,6.66
13:31:27,27.3,6.66
13:31:28,33.3,6.73
13:31:29,33.3,6.71
13:31:30,20,6.64
13:31:32,20,6.66
13:31:33,25,6.69
13:31:34,20,6.67
13:31:35,27.3,6.67
13:31:37,30.8,6.67
13:31:38,25,6.67
13:31:39,20,6.67
13:31:40,20,6.66
13:31:42,33.3,6.66
13:31:43,33.3,6.66
13:31:44,33.3,6.66
13:31:45,20,6.65
13:31:46,40,6.94
13:31:48,50,6.89
13:31:49,50,7.40
13:31:50,50,7.59
13:31:51,57.1,7.99
13:31:52,71.4,7.99
13:31:54,83.3,8.16
13:31:55,50,8.21
13:31:56,50,8.17
13:31:57,60,7.71
13:31:58,50,7.67
13:32:00,33.3,7.39
13:32:01,25,7.24
13:32:02,27.3,7.24
13:32:03,25,7.21
13:32:05,41.7,7.17
13:32:06,25,7.57
13:32:07,33.3,7.08
13:32:08,20,7.06
13:32:09,33.3,7.02
13:32:11,20,7.02
13:32:12,50,7.47
13:32:13,33.3,7.12
13:32:14,20,7.10
13:32:15,20,7.07
13:32:17,27.3,7.07
13:32:18,57.1,7.22
13:32:19,33.3,7.43
13:32:20,33.3,7.33
13:32:21,33.3,7.16
13:32:23,20,7.11
13:32:24,18.2,7.06
13:32:25,60,7.53
13:32:26,25,7.15
13:32:27,50,7.11
13:32:29,33.3,7.05
13:32:30,25,7.03
13:32:31,57.1,7.25
13:32:32,20,7.15
13:32:34,33.3,7.13
13:32:35,20,7.11
13:32:36,22.2,7.02
13:32:37,22.2,6.98
13:32:38,50,7.19
13:32:40,33.3,6.87
13:32:41,33.3,6.87
13:32:42,20,6.73
13:32:43,30.8,6.74
13:32:44,66.7,7.13
13:32:46,25,7.22
13:32:47,33.3,7.22
13:32:48,33.3,7.15
13:32:49,30.8,7.10
13:32:51,50,7.28
13:32:52,57.1,7.06
13:32:53,33.3,7.15
13:32:54,0,7.12
13:32:55,0,7.10
13:32:57,30,7.05
13:32:58,60,7.51
13:32:59,33.3,7.03
13:33:00,40,7.02
13:33:01,20,6.97
13:33:03,33.3,6.84
13:33:04,16.7,6.94
13:33:05,60,7.33
13:33:06,37.5,7.20
13:33:07,30,7.16
13:33:09,30,7.12
13:33:10,41.7,7.08
13:33:11,57.1,7.31
13:33:12,77.8,7.35
13:33:14,20,7.35
13:33:15,20,7.35
13:33:16,33.3,7.29
13:33:17,33.3,7.16
13:33:18,50,7.62
13:33:20,60,7.08
13:33:21,40,7.10
13:33:22,25,7.05
13:33:23,20,6.97
13:33:24,40,6.98
13:33:26,55.6,7.44
13:33:27,60,7.48
13:33:28,50,7.31
13:33:29,33.3,6.97
13:33:30,50,6.96
13:33:32,33.3,6.94
13:33:33,83.3,7.19
13:33:34,33.3,6.94
13:33:35,40,6.92
13:33:37,57.1,6.92
13:33:38,33.3,6.93
13:33:39,27.3,6.93
13:33:40,40,7.25
13:33:41,42.9,6.92
13:33:43,20,6.89
13:33:44,20,6.84
13:33:45,27.3,6.84
13:33:46,42.9,6.92
13:33:47,44.4,7.31
13:33:49,42.9,7.26
13:33:50,33.3,7.22
13:33:51,25,7.16
13:33:52,30,7.11
13:33:54,42.9,7.11
13:33:55,57.1,7.03
13:33:56,40,7.05
13:33:57,20,7.02
13:33:58,45.5,7.01
13:34:00,36.4,6.94
13:34:01,50,7.34
13:34:02,20,6.92
13:34:03,20,6.88
13:34:04,42.9,6.88
13:34:06,46.2,6.90
13:34:07,66.7,7.06
13:34:08,33.3,7.52
13:34:09,50,6.93
13:34:11,0,6.90
13:34:12,33.3,6.89
13:34:13,33.3,6.84
13:34:14,20,6.87
13:34:15,83.3,7.47
13:34:17,20,7.66
13:34:18,50,7.72
13:34:19,33.3,7.88
13:34:20,27.3,7.89
13:34:22,18.2,7.89
13:34:23,40,8.25
13:34:24,33.3,8.30
13:34:25,50,8.30
13:34:26,33.3,8.27
13:34:28,30,8.25
13:34:29,50,8.21
13:34:30,50,8.66
13:34:31,83.3,8.09
13:34:33,25,8.06
13:34:34,20,8.02
13:34:35,20,7.93
13:34:36,40,8.27
13:34:37,20,8.23
13:34:39,20,8.39
13:34:40,40,8.36
13:34:41,20,8.23
13:34:42,50,8.31
13:34:43,57.1,8.49
13:34:45,57.1,8.39
13:34:46,33.3,8.40
13:34:47,28.6,8.21
13:34:48,40,8.00
13:34:49,50,8.46
13:34:51,20,8.21
13:34:52,20,8.17
13:34:53,37.5,8.11
13:34:54,27.3,8.08
13:34:56,83.3,8.30
13:34:57,75,8.45
13:34:59,80,8.35
13:35:01,38.5,8.32
13:35:02,30,8.21
13:35:03,50,8.50
13:35:04,50,8.00
13:35:06,25,8.14
13:35:07,20,8.12
13:35:08,83.3,7.98
13:35:09,75,8.32
13:35:10,16.7,8.80
13:35:12,40,8.59
13:35:13,63.6,8.49
13:35:14,33.3,8.41
13:35:15,20,8.43
13:35:16,71.4,8.64
13:35:18,85.7,8.68
13:35:19,71.4,8.54
13:35:20,57.1,8.49
13:35:21,85.7,8.46
13:35:23,80,8.46
13:35:24,83.3,8.80
13:35:25,83.3,8.59
13:35:26,71.4,8.63
13:35:27,75,8.64
13:35:29,41.7,8.67
13:35:30,60,8.87
13:35:31,37.5,8.89
13:35:32,33.3,8.81
13:35:34,33.3,8.77
13:35:35,23.1,8.71
13:35:36,50,8.62
13:35:37,66.7,8.85
13:35:38,33.3,8.35
13:35:40,62.5,8.34
13:35:41,71.4,8.77
13:35:42,40,8.82
13:35:43,50,8.84
13:35:45,33.3,9.23
13:35:46,25,9.12
13:35:47,20,9.10
13:35:48,66.7,8.92
13:35:49,20,8.95
13:35:51,50,9.32
13:35:52,25,8.95
13:35:53,20,8.90
13:35:54,33.3,8.89
13:35:55,50,8.86
13:35:57,53.8,8.73
13:35:58,90.9,9.23
13:35:59,50,9.47
13:36:00,50,9.46
13:36:01,57.1,9.42
13:36:03,20,9.28
13:36:04,71.4,9.27
13:36:05,62.5,9.21
13:36:06,57.1,9.19
13:36:08,90.9,9.19
13:36:09,20,9.23
13:36:10,33.3,9.23
13:36:11,66.7,9.62
13:36:12,42.9,9.18
13:36:14,50,9.15
13:36:15,75,9.21
13:36:16,28.6,9.21
13:36:17,50,9.49
13:36:18,50,9.17
13:36:20,20,9.18
13:36:21,40,9.18
13:36:22,33.3,9.15
13:36:23,23.1,9.14
13:36:25,50,9.46
13:36:26,33.3,9.30
13:36:27,20,9.32
13:36:28,20,9.12
13:36:29,27.3,9.13
13:36:31,85.7,9.30
13:36:32,44.4,9.41
13:36:33,33.3,9.17
13:36:34,33.3,9.17
13:36:35,27.3,9.19
13:36:37,20,9.19
13:36:38,60,9.49
13:36:39,16.7,9.33
13:36:40,28.6,9.32
13:36:42,28.6,9.26
13:36:43,33.3,9.23
13:36:44,57.1,9.30
13:36:45,50,9.12
13:36:46,20,9.12
13:36:48,46.7,9.03
13:36:49,33.3,9.01
13:36:50,33.3,9.04
13:36:51,57.1,9.50
13:36:52,33.3,9.32
13:36:54,44.4,9.27
13:36:55,28.6,9.26
13:36:56,28.6,9.21
13:36:57,50,9.49
13:36:58,33.3,9.38
13:37:00,30.8,9.38
13:37:01,18.2,9.37
13:37:02,25,9.35
13:37:03,25,9.31
13:37:05,57.1,9.70
13:37:06,16.7,9.33
13:37:07,20,9.30
13:37:08,16.7,9.23
13:37:09,25,9.22
13:37:11,60,9.49
13:37:12,20,9.28
13:37:13,0,9.27
13:37:14,33.3,9.26
13:37:16,27.3,9.23
13:37:17,60,9.44
13:37:18,20,9.76
13:37:19,20,9.77
13:37:20,42.9,9.77
13:37:22,33.3,9.77
13:37:23,28.6,9.77
13:37:24,35.7,9.74
13:37:25,25,9.72
13:37:27,28.6,9.67
13:37:28,20,9.65
13:37:29,33.3,9.56
13:37:30,20,9.55
13:37:31,57.1,9.63
13:37:33,33.3,9.62
13:37:34,27.3,9.59
13:37:35,53.3,9.58
13:37:36,20,9.59
13:37:38,25,9.56
13:37:39,54.5,9.50
13:37:40,33.3,9.51
13:37:41,33.3,9.51
13:37:43,33.3,9.51
13:37:44,28.6,9.51
13:37:45,35.7,9.50
13:37:46,30.8,9.50
13:37:47,30,9.50
13:37:49,35.7,9.50
13:37:50,20,9.46
13:37:51,20,9.46
13:37:52,20,9.46
13:37:54,33.3,9.47
13:37:55,30.8,9.47
13:37:56,30.8,9.47
13:37:57,30.8,9.47
13:37:58,30.8,9.49
13:38:00,20,9.55
13:38:01,33.3,9.55
13:38:02,42.9,9.55
13:38:03,28.6,9.56
13:38:05,36.4,9.56
13:38:06,30.8,9.56
13:38:07,25,9.55
13:38:08,42.9,9.56
13:38:10,54.5,9.45
13:38:11,28.6,9.46
13:38:12,33.3,9.46
13:38:13,33.3,9.46
13:38:14,20,9.46
13:38:16,27.3,9.46
13:38:17,28.6,9.47
13:38:18,27.3,9.49
13:38:19,23.1,9.50
13:38:21,57.1,9.54
13:38:22,33.3,9.54
13:38:23,20,9.54
13:38:24,33.3,9.53
13:38:25,27.3,9.53
13:38:27,27.3,9.53
13:38:28,28.6,9.49
13:38:29,28.6,9.49
13:38:30,42.9,9.55
13:38:32,50,9.70
13:38:33,20,9.65
13:38:34,37.5,9.63
13:38:35,25,9.63
13:38:37,28.6,9.62
13:38:38,41.7,9.60
13:38:39,28.6,9.59
13:38:40,33.3,9.60
13:38:41,20,9.45
13:38:43,33.3,9.45
13:38:44,20,9.45
13:38:45,30.8,9.50
13:38:46,25,9.50
13:38:48,25,9.50
13:38:49,27.3,9.49
13:38:50,23.1,9.49
13:38:51,33.3,9.47
13:38:53,57.1,9.50
13:38:54,42.9,9.49
13:38:55,40,9.51
13:38:56,23.1,9.51
13:38:57,30.8,9.51
13:38:59,33.3,9.51
13:39:00,33.3,9.51
13:39:01,33.3,9.47
13:39:02,33.3,9.49
13:39:03,23.1,9.49
13:39:05,20,9.51
13:39:06,28.6,9.51
13:39:07,33.3,9.51
13:39:08,33.3,9.51
13:39:10,20,9.51
13:39:11,20,9.51
13:39:12,33.3,9.49
13:39:13,30.8,9.50
13:39:15,25,9.51
13:39:16,28.6,9.53
13:39:17,33.3,9.53
13:39:18,33.3,9.53
13:39:19,20,9.53
13:39:21,71.4,9.51
13:39:22,20,9.60
13:39:23,20,9.60
13:39:24,0,9.59
13:39:25,20,9.59
13:39:27,33.3,9.59
13:39:28,28.6,9.56
13:39:29,16.7,9.54
13:39:30,16.7,9.54
13:39:31,20,9.64
13:39:33,33.3,9.69
13:39:34,66.7,8.95
13:39:35,71.4,8.94
13:39:36,33.3,8.08
13:39:38,66.7,7.62
13:39:39,20,7.24
13:39:40,25,7.25
13:39:41,57.1,6.97
13:39:42,33.3,6.80
13:39:44,30.8,6.79
13:39:45,25,6.78
13:39:46,33.3,6.75
13:39:47,30,6.75
13:39:49,25,6.71
13:39:50,18.2,6.70
13:39:51,18.2,6.69
13:39:52,33.3,6.60
13:39:53,25,6.61
13:39:55,33.3,6.61
13:39:56,20,6.64
13:39:57,20,6.64
13:39:58,25,6.64
13:40:00,33.3,6.64
13:40:01,25,6.64
13:40:02,25,6.64
13:40:03,20,6.65
13:40:05,33.3,6.65
13:40:06,25,6.65
13:40:07,33.3,6.65
13:40:08,27.3,6.65
13:40:09,30.8,6.65
13:40:11,18.2,6.65
13:40:12,30.8,6.66
