Timestamp,CPU_%,Mem_Used_MB
13:42:43,60,12.54
13:42:44,33.3,12.56
13:42:46,25,12.56
13:42:47,20,12.56
13:42:48,23.1,12.56
13:42:49,28.6,12.54
13:42:50,28.6,12.54
13:42:52,18.2,12.56
13:42:53,25,12.40
13:42:54,20,12.51
13:42:55,40,12.51
13:42:56,20,12.54
13:42:58,33.3,12.54
13:42:59,28.6,12.51
13:43:00,25,12.56
13:43:01,28.6,12.54
13:43:03,20,12.54
13:43:04,20,12.62
13:43:05,33.3,12.62
13:43:06,20,12.59
13:43:07,25,12.62
13:43:09,27.3,12.62
13:43:10,23.1,12.62
13:43:11,28.6,12.59
13:43:12,28.6,12.59
13:43:14,33.3,12.51
13:43:15,33.3,12.54
13:43:16,33.3,12.62
13:43:17,20,12.67
13:43:19,23.1,12.67
13:43:20,33.3,12.67
13:43:21,21.4,12.67
13:43:22,28.6,12.62
13:43:24,20,12.64
13:43:25,33.3,12.62
13:43:26,25,12.62
13:43:27,33.3,12.64
13:43:28,20,12.64
13:43:30,28.6,12.64
13:43:31,27.3,12.59
13:43:32,21.4,12.59
13:43:33,28.6,12.59
13:43:35,20,12.62
13:43:36,0,12.62
13:43:37,20,12.62
13:43:38,33.3,12.62
13:43:39,28.6,12.59
13:43:41,20,12.59
13:43:42,28.6,12.56
13:43:43,33.3,12.54
13:43:44,33.3,12.54
13:43:45,20,12.56
13:43:47,20,12.56
13:43:48,23.1,12.54
13:43:49,23.1,12.54
13:43:50,28.6,12.51
13:43:52,23.1,12.51
13:43:53,18.2,12.51
13:43:54,50,12.62
13:43:55,33.3,12.62
13:43:57,20,12.62
13:43:58,25,12.67
13:43:59,0,12.67
13:44:00,28.6,12.67
13:44:01,23.1,12.62
13:44:03,26.7,12.62
13:44:04,30,12.67
13:44:05,33.3,12.56
13:44:06,33.3,12.56
13:44:08,40,12.56
13:44:09,0,12.59
13:44:10,25,12.62
13:44:11,21.4,12.62
13:44:12,23.1,12.62
13:44:14,28.6,12.62
13:44:15,20,12.59
13:44:16,40,12.59
13:44:17,20,12.59
13:44:18,33.3,12.59
13:44:20,33.3,12.59
13:44:21,30.8,12.56
13:44:22,23.1,12.56
13:44:23,23.1,12.56
13:44:25,25,12.56
13:44:26,33.3,12.75
13:44:27,40,12.72
13:44:28,33.3,12.69
13:44:30,33.3,12.67
13:44:31,28.6,12.67
13:44:32,26.7,12.69
13:44:33,28.6,12.67
13:44:34,23.1,12.67
13:44:36,33.3,12.62
13:44:37,33.3,12.62
13:44:38,20,12.62
13:44:39,20,12.64
13:44:41,25,12.62
13:44:42,28.6,12.59
13:44:43,28.6,12.59
13:44:44,23.1,12.59
13:44:46,71.4,12.51
13:44:47,20,12.54
13:44:48,20,12.54
13:44:49,33.3,12.54
13:44:50,28.6,12.54
13:44:52,28.6,12.59
13:44:53,28.6,12.59
13:44:54,20,12.67
13:44:55,25,12.67
13:44:56,20,12.88
13:44:58,33.3,12.88
13:44:59,46.2,13.01
13:45:00,33.3,12.98
13:45:01,20,13.01
13:45:02,40,12.90
13:45:04,20,12.77
13:45:05,33.3,12.69
13:45:06,33.3,12.75
13:45:07,20,12.62
13:45:08,33.3,12.75
13:45:10,42.9,12.72
13:45:11,33.3,12.64
13:45:12,44.4,12.67
13:45:13,44.4,12.72
13:45:15,33.3,12.69
13:45:16,33.3,12.80
13:45:17,71.4,13.01
13:45:18,33.3,12.93
13:45:21,20,12.85
13:45:22,36.4,12.93
13:45:23,37.5,12.90
13:45:25,50,12.75
13:45:26,33.3,12.75
13:45:27,25,12.69
13:45:28,33.3,12.77
13:45:29,33.3,12.75
13:45:31,36.4,12.72
13:45:32,25,12.75
13:45:33,20,12.75
13:45:34,33.3,12.75
13:45:35,50,12.93
13:45:37,77.8,13.12
13:45:38,0,12.96
13:45:39,33.3,12.88
13:45:40,40,12.85
13:45:42,40,12.88
13:45:43,28.6,12.88
13:45:44,20,12.88
13:45:45,20,13.48
13:45:48,40,13.30
13:45:49,80,14.56
13:45:50,20,14.99
13:45:51,20,15.01
13:45:53,0,15.01
13:45:54,20,15.01
13:45:55,60,15.30
13:45:56,20,15.30
13:45:57,60,15.49
13:45:59,33.3,15.54
13:46:00,27.3,15.67
13:46:01,27.3,15.67
13:46:02,28.6,15.56
13:46:04,25,15.54
13:46:05,20,15.54
13:46:06,33.3,15.59
13:46:07,40,15.41
13:46:08,33.3,15.54
13:46:10,33.3,15.12
13:46:11,20,15.20
13:46:12,62.5,15.25
13:46:13,33.3,15.28
13:46:14,40,15.17
13:46:16,50,15.83
13:46:17,20,15.93
13:46:18,71.4,16.07
13:46:20,75,15.78
13:46:21,33.3,15.78
13:46:22,27.3,15.83
13:46:24,22.2,15.75
13:46:25,57.1,15.59
13:46:26,42.9,15.62
13:46:27,33.3,15.49
13:46:28,20,15.46
13:46:30,33.3,15.49
13:46:31,44.4,15.41
13:46:32,57.1,15.51
13:46:33,40,15.75
13:46:35,33.3,15.99
13:46:36,66.7,15.99
13:46:37,45.5,15.85
13:46:39,33.3,15.78
13:46:40,33.3,15.78
13:46:41,33.3,15.80
13:46:42,33.3,15.75
13:46:43,33.3,15.78
13:46:45,40,15.51
13:46:46,50,15.54
13:46:47,40,15.51
13:46:48,42.9,15.54
13:46:49,33.3,15.78
13:46:51,40,15.93
13:46:52,40,16.22
13:46:53,57.1,15.99
13:46:54,60,15.99
13:46:55,71.4,15.96
13:46:57,50,15.99
13:46:58,20,16.09
13:46:59,33.3,16.54
13:47:00,20,16.54
13:47:02,33.3,16.54
13:47:03,26.7,16.51
13:47:04,28.6,16.41
13:47:05,33.3,16.36
13:47:06,20,16.33
13:47:08,33.3,16.30
13:47:09,31.2,16.30
13:47:10,33.3,16.46
13:47:11,33.3,16.43
13:47:12,20,16.64
13:47:14,20,16.70
13:47:15,26.7,16.70
13:47:16,33.3,16.64
13:47:17,20,16.38
13:47:19,33.3,16.28
13:47:20,33.3,16.22
13:47:21,21.4,16.25
13:47:22,20,16.25
13:47:23,20,16.28
13:47:25,33.3,16.28
13:47:26,50,16.25
13:47:27,50,16.30
13:47:28,33.3,16.30
13:47:29,20,16.33
13:47:31,33.3,16.75
13:47:32,33.3,16.78
13:47:33,18.2,16.78
13:47:34,16.7,16.78
13:47:35,62.5,16.70
13:47:37,20,16.64
13:47:38,20,16.62
13:47:39,70.6,16.59
13:47:40,20,16.57
13:47:41,40,16.64
13:47:43,57.1,17.01
13:47:44,20,17.22
13:47:45,25,17.28
13:47:46,23.1,17.25
13:47:48,23.1,17.22
13:47:49,30.8,17.22
13:47:50,53.8,17.07
13:47:51,16.7,17.07
13:47:53,33.3,17.04
13:47:54,33.3,17.01
13:47:55,50,17.01
13:47:56,28.6,16.96
13:47:57,21.4,16.96
13:47:59,28.6,16.93
13:48:00,28.6,16.93
13:48:01,33.3,16.93
13:48:02,20,16.88
13:48:03,28.6,16.88
13:48:05,20,16.88
13:48:06,0,16.91
13:48:07,33.3,16.88
13:48:08,33.3,16.91
13:48:09,33.3,16.88
13:48:11,66.7,17.12
13:48:12,16.7,17.09
13:48:13,33.3,17.07
13:48:14,33.3,17.07
13:48:16,38.5,17.12
13:48:17,20,17.09
13:48:18,42.9,17.22
13:48:19,28.6,17.07
13:48:20,20,17.01
13:48:22,33.3,16.96
13:48:23,16.7,16.88
13:48:24,33.3,16.91
13:48:25,42.9,16.91
13:48:26,27.3,16.91
13:48:28,30.8,16.88
13:48:29,25,16.88
13:48:30,20,16.86
13:48:31,33.3,16.99
13:48:33,33.3,16.99
13:48:34,20,17.01
13:48:35,43.8,16.96
13:48:36,18.2,16.93
13:48:37,21.4,16.96
13:48:39,33.3,16.96
13:48:40,28.6,16.93
13:48:41,20,16.96
13:48:42,33.3,16.83
13:48:43,21.4,16.83
13:48:45,28.6,16.83
13:48:46,16.7,16.72
13:48:47,20,16.75
13:48:48,33.3,16.75
13:48:50,21.4,16.72
13:48:51,0,16.75
13:48:52,42.9,16.67
13:48:53,16.7,16.70
13:48:54,20,16.70
13:48:56,27.3,16.70
13:48:57,25,16.70
13:48:58,26.7,16.67
13:48:59,20,16.67
13:49:00,20,16.67
13:49:02,20,16.70
13:49:03,33.3,16.70
13:49:04,26.7,16.72
13:49:05,31.2,16.70
13:49:07,20,16.70
13:49:08,28.6,16.70
13:49:09,16.7,16.75
13:49:10,20,16.70
13:49:11,21.4,16.70
13:49:13,16.7,16.64
13:49:14,20,16.67
13:49:15,33.3,16.70
13:49:16,16.7,16.64
13:49:17,26.7,16.67
13:49:19,40,16.75
13:49:20,20,16.78
13:49:21,28.6,16.78
13:49:22,20,16.78
13:49:24,21.4,16.78
13:49:25,26.7,16.80
13:49:26,28.6,16.80
13:49:27,33.3,16.80
13:49:28,20,16.78
13:49:30,20,16.78
13:49:31,26.7,16.78
13:49:32,18.2,16.75
13:49:33,33.3,16.88
13:49:35,16.7,16.88
13:49:36,20,16.91
13:49:37,16.7,16.88
13:49:38,30.8,16.64
13:49:39,20,16.64
13:49:41,20,16.64
13:49:42,28.6,16.57
13:49:43,71.4,16.51
13:49:44,56.2,16.51
13:49:45,20,16.54
13:49:47,20,16.54
13:49:48,33.3,16.54
13:49:49,33.3,16.54
13:49:50,26.7,16.51
13:49:51,33.3,16.49
13:49:53,16.7,16.49
13:49:54,62.5,16.54
13:49:55,20,16.51
13:49:56,21.4,16.54
13:49:57,33.3,16.57
13:49:59,20,16.54
13:50:00,20,16.57
13:50:01,20,16.54
13:50:02,21.4,16.49
13:50:04,33.3,16.57
13:50:05,33.3,16.57
13:50:06,33.3,16.59
13:50:07,20,16.54
13:50:08,33.3,16.54
13:50:10,26.7,16.57
13:50:11,20,16.57
13:50:12,0,16.57
13:50:13,33.3,16.51
13:50:14,33.3,16.49
13:50:16,26.7,16.49
13:50:17,20,16.51
13:50:18,33.3,16.51
13:50:19,33.3,16.49
13:50:20,20,16.57
13:50:22,26.7,16.57
13:50:23,33.3,16.59
13:50:24,33.3,16.51
13:50:25,20,16.51
13:50:26,20,16.54
13:50:28,21.4,16.51
13:50:29,33.3,16.51
13:50:30,28.6,16.51
13:50:31,50,16.49
13:50:33,20,16.49
13:50:34,21.4,16.46
13:50:35,28.6,16.49
13:50:36,20,16.49
13:50:37,28.6,16.49
13:50:39,33.3,16.49
13:50:40,26.7,16.49
13:50:41,20,16.51
13:50:42,16.7,16.51
13:50:43,20,16.51
13:50:45,20,16.51
13:50:46,37.5,16.54
13:50:47,42.9,16.54
13:50:48,16.7,16.54
13:50:49,33.3,16.54
13:50:51,33.3,16.54
13:50:52,25,16.54
13:50:53,20,16.54
13:50:54,33.3,16.57
13:50:55,33.3,16.49
13:50:57,20,16.46
13:50:58,23.1,16.46
13:50:59,27.3,16.49
13:51:00,23.1,16.51
13:51:02,21.4,16.51
13:51:03,33.3,16.51
13:51:04,33.3,16.51
13:51:05,20,16.62
13:51:06,42.9,16.62
13:51:08,26.7,16.62
13:51:09,33.3,16.59
13:51:10,33.3,16.59
13:51:11,20,16.57
13:51:13,20,16.59
13:51:14,31.2,16.59
13:51:15,25,16.54
13:51:16,20,16.51
13:51:17,20,16.54
13:51:19,33.3,16.54
13:51:20,20,16.57
13:51:21,16.7,16.57
13:51:22,26.7,16.54
13:51:24,26.7,16.54
13:51:25,20,16.51
13:51:26,20,16.62
13:51:27,28.6,16.57
13:51:28,33.3,16.54
13:51:30,31.2,16.57
13:51:31,33.3,16.57
