Timestamp,CPU_%,Mem_Used_MB
12:55:09,25,11.64
12:55:10,23.1,11.70
12:55:11,23.1,11.70
12:55:12,33.3,11.72
12:55:14,20,11.70
12:55:15,25,11.70
12:55:16,20,11.67
12:55:17,23.1,11.64
12:55:18,23.1,11.64
12:55:20,16.7,11.64
12:55:21,28.6,11.62
12:55:22,0,11.72
12:55:23,20,11.70
12:55:25,20,11.70
12:55:26,20,11.70
12:55:27,20,11.67
12:55:28,23.1,11.64
12:55:30,28.6,11.64
12:55:31,27.3,11.64
12:55:32,30.8,11.62
12:55:33,20,11.54
12:55:34,0,11.59
12:55:36,20,11.59
12:55:37,20,11.56
12:55:38,27.3,11.62
12:55:39,20,11.64
12:55:40,33.3,11.64
12:55:42,33.3,11.64
12:55:43,20,11.62
12:55:44,21.4,11.64
12:55:45,27.3,11.62
12:55:47,27.3,11.62
12:55:48,28.6,11.62
12:55:49,27.3,11.64
12:55:50,33.3,11.62
12:55:52,28.6,11.59
12:55:53,75,11.75
12:55:54,20,12.04
12:55:55,20,12.09
12:55:56,33.3,12.09
12:55:58,57.1,12.12
12:55:59,25,12.12
12:56:00,21.4,12.09
12:56:01,33.3,11.83
12:56:03,50,12.88
12:56:04,40,13.22
12:56:05,40,13.91
12:56:06,50,13.83
12:56:07,60,13.99
12:56:09,57.1,13.96
12:56:10,60,13.96
12:56:11,20,12.99
12:56:12,20,12.88
12:56:13,80,12.51
12:56:15,33.3,12.46
12:56:16,60,12.33
12:56:17,57.1,12.72
12:56:18,20,12.51
12:56:19,33.3,12.43
12:56:21,20,12.30
12:56:22,28.6,12.25
12:56:23,41.7,12.36
12:56:24,57.1,12.51
12:56:25,33.3,12.46
12:56:27,33.3,12.49
12:56:28,20,12.41
12:56:29,25,12.25
12:56:30,40,13.09
12:56:31,33.3,12.25
12:56:33,33.3,12.17
12:56:34,62.5,12.17
12:56:35,26.7,12.12
12:56:36,66.7,12.43
12:56:38,33.3,12.01
12:56:39,60,12.30
12:56:40,25,12.28
12:56:41,20,12.28
12:56:42,16.7,12.22
12:56:44,40,13.22
12:56:45,25,12.64
12:56:46,40,12.64
12:56:47,40,12.62
12:56:48,20,12.54
12:56:50,40,12.78
12:56:51,20,12.59
12:56:52,20,12.57
12:56:53,20,12.46
12:56:54,57.1,12.09
12:56:56,50,12.33
12:56:57,25,12.38
12:56:58,33.3,12.38
12:56:59,20,12.36
12:57:00,23.1,12.30
12:57:02,27.3,12.33
12:57:03,40,12.83
12:57:04,33.3,12.75
12:57:05,33.3,12.70
12:57:07,20,12.59
12:57:08,23.1,12.62
12:57:09,50,13.22
12:57:10,25,12.70
12:57:11,33.3,12.62
12:57:13,33.3,12.57
12:57:14,30.8,12.46
12:57:15,50,12.43
12:57:16,20,12.91
12:57:17,20,12.86
12:57:19,20,12.72
12:57:20,20,12.80
12:57:21,20,12.75
12:57:22,50,13.20
12:57:23,20,12.36
12:57:25,33.3,12.36
12:57:26,20,12.09
12:57:27,20,12.09
12:57:28,50,12.54
12:57:29,50,12.14
12:57:31,23.1,12.09
12:57:32,33.3,12.09
12:57:33,20,12.04
12:57:34,27.3,12.04
12:57:36,57.1,12.88
12:57:37,0,12.57
12:57:38,33.3,12.54
12:57:39,50,12.43
12:57:40,25,12.43
12:57:42,30.8,12.51
12:57:43,33.3,13.28
12:57:44,33.3,12.46
12:57:45,33.3,12.41
12:57:47,33.3,12.17
12:57:48,25,12.12
12:57:49,50,12.80
12:57:50,55.6,12.20
12:57:51,33.3,12.20
12:57:53,33.3,12.20
12:57:54,27.3,12.14
12:57:55,33.3,12.12
12:57:56,50,12.67
12:57:57,20,12.30
12:57:59,33.3,12.38
12:58:00,30.8,12.38
12:58:01,20,12.33
12:58:02,60,12.96
12:58:04,33.3,13.17
12:58:05,33.3,12.83
12:58:06,20,12.93
12:58:07,22.2,12.67
12:58:08,40,12.49
12:58:10,50,12.96
12:58:11,33.3,12.14
12:58:12,40,12.04
12:58:13,50,11.96
12:58:14,30,11.88
12:58:16,57.1,12.36
12:58:17,66.7,12.30
12:58:18,33.3,12.30
12:58:19,20,12.30
12:58:21,33.3,12.28
12:58:22,41.7,12.28
12:58:23,57.1,13.04
12:58:24,20,12.96
12:58:25,42.9,12.86
12:58:27,55.6,12.46
12:58:28,30,12.41
12:58:29,50,12.46
12:58:30,33.3,12.25
12:58:31,20,12.25
12:58:33,28.6,12.17
12:58:34,22.2,12.09
12:58:35,60,12.38
12:58:36,55.6,12.01
12:58:38,20,11.91
12:58:39,40,11.93
12:58:40,40,12.25
12:58:41,50,12.22
12:58:42,80,13.25
12:58:44,40,12.57
12:58:45,20,12.43
12:58:46,20,12.28
12:58:47,57.1,12.17
12:58:48,50,12.49
12:58:50,33.3,12.07
12:58:51,20,12.01
12:58:52,40,11.99
12:58:53,30.8,12.01
12:58:55,41.7,12.25
12:58:56,50,12.93
12:58:57,33.3,12.80
12:58:58,33.3,12.46
12:58:59,33.3,12.49
12:59:01,33.3,12.41
12:59:02,50,13.04
12:59:03,20,12.30
12:59:04,16.7,12.22
12:59:05,50,12.14
12:59:07,40,12.14
12:59:08,66.7,12.64
12:59:09,57.1,12.91
12:59:10,20,12.83
12:59:11,0,12.72
12:59:13,20,12.67
12:59:14,30,12.57
12:59:15,40,13.38
12:59:16,20,12.49
12:59:18,0,12.54
12:59:19,20,11.99
12:59:20,36.4,11.99
12:59:21,62.5,12.75
12:59:23,33.3,12.54
12:59:24,50,12.86
12:59:25,75,13.46
12:59:26,27.3,13.54
12:59:27,40,13.62
12:59:29,20,14.65
12:59:30,20,14.57
12:59:31,50,14.81
12:59:32,50,14.62
12:59:33,33.3,14.57
12:59:35,66.7,15.38
12:59:36,33.3,15.31
12:59:37,40,15.04
12:59:38,33.3,14.91
12:59:39,81.8,14.59
12:59:41,80,14.96
12:59:42,33.3,14.91
12:59:43,42.9,14.83
12:59:45,36.4,14.57
12:59:46,33.3,14.33
12:59:47,50,15.12
12:59:48,40,14.59
12:59:49,60,14.75
12:59:51,40,14.54
12:59:52,50,14.96
12:59:53,33.3,15.23
12:59:54,50,15.73
12:59:55,30.8,15.73
12:59:57,20,15.75
12:59:58,20,15.65
12:59:59,20,15.33
13:00:00,66.7,15.73
13:00:02,33.3,15.36
13:00:03,20,15.04
13:00:04,60,14.96
13:00:05,66.7,14.86
13:00:06,91.7,15.31
13:00:08,50,15.46
13:00:09,57.1,15.46
13:00:11,58.3,15.09
13:00:13,61.1,15.12
13:00:14,50,14.91
13:00:18,64.3,14.86
13:00:19,20,14.86
13:00:20,50,14.86
13:00:21,20,14.86
13:00:23,42.9,14.88
13:00:24,40,14.78
13:00:25,20,14.75
13:00:26,62.5,15.36
13:00:27,20,15.09
13:00:29,55.6,15.07
13:00:30,60,15.54
13:00:31,66.7,15.20
13:00:32,83.3,15.67
13:00:33,33.3,15.96
13:00:35,72.7,15.75
13:00:36,53.8,15.67
13:00:37,50,15.57
13:00:38,86.7,15.73
13:00:40,100,16.78
13:00:41,20,15.96
13:00:42,33.3,15.89
13:00:43,33.3,15.73
13:00:45,25,15.70
13:00:46,50,15.99
13:00:47,20,15.57
13:00:48,40,15.54
13:00:49,33.3,15.70
13:00:51,40,15.91
13:00:52,40,15.67
13:00:53,50,16.57
13:00:54,20,16.15
13:00:55,66.7,16.46
13:00:57,33.3,16.49
13:00:58,20,16.46
13:00:59,40,16.65
13:01:00,20,16.44
13:01:01,20,16.17
13:01:03,20,16.12
13:01:04,37.5,16.10
13:01:05,66.7,16.02
13:01:06,50,16.52
13:01:07,20,15.78
13:01:09,20,15.78
13:01:10,40,15.75
13:01:11,66.7,16.15
13:01:12,71.4,17.07
13:01:13,60,16.52
13:01:15,50,16.20
13:01:16,42.9,16.07
13:01:17,20,16.15
13:01:18,50,16.60
13:01:20,20,16.91
13:01:21,25,16.86
13:01:22,20,16.86
13:01:23,20,16.65
13:01:24,33.3,16.33
13:01:26,57.1,16.65
13:01:27,23.1,15.99
13:01:28,33.3,15.94
13:01:29,20,15.86
13:01:30,71.4,15.91
13:01:32,83.3,16.28
13:01:33,66.7,16.17
13:01:34,71.4,16.15
13:01:35,33.3,16.07
13:01:37,50,15.78
