Timestamp,CPU_%,Mem_Used_MB
13:15:18,50,6.83
13:15:19,30.8,6.83
13:15:21,27.3,6.83
13:15:22,30.8,6.83
13:15:23,70,6.73
13:15:24,33.3,6.74
13:15:26,33.3,6.74
13:15:27,20,6.74
13:15:28,20,6.78
13:15:29,25,6.79
13:15:30,33.3,6.79
13:15:32,25,6.79
13:15:33,25,6.79
13:15:34,33.3,6.78
13:15:35,20,6.78
13:15:36,20,6.78
13:15:38,20,6.78
13:15:39,27.3,6.78
13:15:40,25,6.78
13:15:41,30.8,6.78
13:15:43,25,6.78
13:15:44,20,6.79
13:15:45,20,6.79
13:15:46,20,6.79
13:15:47,33.3,6.80
13:15:49,28.6,6.80
13:15:50,30.8,6.79
13:15:51,20,6.85
13:15:52,20,6.85
13:15:54,33.3,6.85
13:15:55,33.3,6.73
13:15:56,28.6,6.73
13:15:57,25,6.74
13:15:58,30.8,6.76
13:16:00,27.3,6.78
13:16:01,25,6.76
13:16:02,25,6.78
13:16:03,25,6.78
13:16:05,20,6.76
13:16:06,33.3,6.76
13:16:07,20,6.76
13:16:08,33.3,6.76
13:16:09,18.2,6.76
13:16:11,30.8,6.76
13:16:12,30.8,6.78
13:16:13,30.8,6.79
13:16:14,50,6.83
13:16:16,20,6.85
13:16:17,20,6.85
13:16:18,16.7,6.85
13:16:19,20,6.85
13:16:20,30.8,6.85
13:16:22,30.8,6.83
13:16:23,30.8,6.83
13:16:24,27.3,6.81
13:16:25,33.3,6.76
13:16:27,20,6.76
13:16:28,20,6.75
13:16:29,33.3,6.76
13:16:30,30.8,6.78
13:16:31,25,6.76
13:16:33,27.3,6.78
13:16:34,30.8,6.76
13:16:35,20,6.74
13:16:36,33.3,6.75
13:16:38,20,6.75
13:16:39,25,6.75
13:16:40,28.6,6.78
13:16:41,33.3,6.76
13:16:42,20,6.80
13:16:44,20,6.80
13:16:45,20,6.80
13:16:46,20,6.88
13:16:47,20,6.88
13:16:48,33.3,6.88
13:16:50,20,6.88
13:16:51,30.8,6.87
13:16:52,0,6.85
13:16:53,0,6.88
13:16:54,20,6.88
13:16:56,33.3,6.84
13:16:57,30.8,6.84
13:16:58,30.8,6.84
13:16:59,25,6.85
13:17:00,30.8,6.85
13:17:02,30.8,6.84
13:17:03,25,6.81
13:17:04,33.3,6.83
13:17:05,35.7,6.93
13:17:07,20,6.79
13:17:08,0,6.79
13:17:09,20,6.83
13:17:10,33.3,6.84
13:17:11,18.2,6.83
13:17:13,25,6.80
13:17:14,25,6.81
13:17:15,25,6.81
13:17:16,33.3,6.78
13:17:18,20,6.79
13:17:19,20,6.79
13:17:20,33.3,6.79
13:17:21,30.8,6.80
13:17:23,25,6.81
13:17:24,25,6.80
13:17:25,27.3,6.79
13:17:26,20,6.79
13:17:27,33.3,6.79
13:17:29,33.3,6.81
13:17:30,33.3,6.81
13:17:31,20,6.81
13:17:32,30.8,6.83
13:17:33,25,6.81
13:17:35,25,6.80
13:17:36,25,6.80
13:17:37,0,6.76
13:17:38,20,6.80
13:17:40,20,6.80
13:17:41,33.3,6.80
13:17:42,33.3,6.81
13:17:43,30.8,6.81
13:17:45,25,6.81
13:17:46,30,6.81
13:17:47,33.3,6.76
13:17:48,33.3,6.76
13:17:49,33.3,6.76
13:17:51,20,6.76
13:17:52,62.5,6.90
13:17:53,33.3,6.88
13:17:54,20,6.88
13:17:55,33.3,6.87
13:17:57,33.3,6.87
13:17:58,25,6.79
13:17:59,30.8,6.79
13:18:00,20,6.79
13:18:02,30.8,6.79
13:18:03,30.8,6.79
13:18:04,25,6.79
13:18:05,25,6.79
13:18:07,33.3,6.78
13:18:08,33.3,6.80
13:18:09,33.3,6.80
13:18:10,20,6.81
13:18:11,42.9,6.81
13:18:13,30.8,6.80
13:18:14,25,6.80
13:18:15,25,6.80
13:18:16,30.8,6.80
13:18:18,20,6.85
13:18:19,20,6.84
13:18:20,16.7,6.83
13:18:21,33.3,6.83
13:18:22,33.3,6.81
13:18:24,25,6.81
13:18:25,25,6.81
13:18:26,30.8,6.81
13:18:27,27.3,6.81
13:18:29,20,6.83
13:18:30,20,6.83
13:18:31,20,6.83
13:18:32,20,6.83
13:18:33,27.3,6.81
13:18:35,30.8,6.81
13:18:36,57.1,6.98
13:18:37,40,7.01
13:18:38,50,7.12
13:18:39,50,7.54
13:18:41,40,7.95
13:18:42,20,8.21
13:18:43,20,8.21
13:18:44,50,8.63
13:18:45,57.1,8.76
13:18:47,28.6,8.82
13:18:48,20,8.85
13:18:49,33.3,8.81
13:18:50,20,8.73
13:18:51,30.8,8.72
13:18:53,85.7,8.96
13:18:54,20,8.78
13:18:55,20,8.76
13:18:56,62.5,8.80
13:18:58,42.9,8.67
13:18:59,20,8.57
13:19:00,33.3,8.54
13:19:01,28.6,8.52
13:19:02,50,8.53
13:19:04,50,8.76
13:19:05,16.7,8.49
13:19:06,33.3,8.49
13:19:07,16.7,8.46
13:19:08,25,8.49
13:19:10,20,8.37
13:19:11,20,8.39
13:19:12,20,8.37
13:19:13,57.1,8.67
13:19:14,50,8.50
13:19:16,28.6,8.44
13:19:17,30.8,8.41
13:19:18,28.6,8.40
13:19:19,33.3,8.35
13:19:21,20,8.34
13:19:22,33.3,8.30
13:19:23,0,8.30
13:19:24,30.8,8.29
13:19:25,23.1,8.30
13:19:27,25,8.27
13:19:28,50,7.34
13:19:29,85.7,7.26
13:19:30,20,7.31
13:19:32,20,7.31
13:19:33,50,7.30
13:19:34,50,7.33
13:19:35,40,7.34
13:19:36,50,7.33
13:19:38,40,7.31
13:19:39,40,7.31
13:19:40,42.9,7.34
13:19:41,33.3,7.34
13:19:42,33.3,7.33
13:19:44,33.3,7.29
13:19:45,45.5,7.30
13:19:46,42.9,7.33
13:19:47,50,7.40
13:19:48,71.4,8.68
13:19:50,80,8.67
13:19:51,60,8.66
13:19:52,60,8.85
13:19:53,100,8.87
13:19:55,75,8.87
13:19:56,100,8.87
13:19:57,83.3,8.87
13:19:58,57.1,7.91
13:19:59,20,7.91
13:20:02,18.2,7.94
13:20:04,20,7.98
13:20:05,57.1,8.03
13:20:06,94.1,7.85
13:20:07,0,7.76
13:20:08,88.9,7.48
13:20:10,40,7.72
13:20:11,33.3,7.66
13:20:12,20,7.68
13:20:13,25,7.67
13:20:15,30.8,7.67
13:20:16,46.2,7.63
13:20:17,18.2,7.62
13:20:18,25,7.62
13:20:20,33.3,7.40
13:20:21,33.3,7.31
13:20:22,20,7.30
13:20:23,33.3,7.29
13:20:24,30.8,7.28
13:20:26,28.6,7.25
13:20:27,0,7.25
13:20:28,33.3,7.24
13:20:29,20,7.24
13:20:30,30.8,7.25
13:20:32,33.3,7.26
13:20:33,75,7.43
13:20:34,57.1,7.65
13:20:35,20,7.76
13:20:36,30.8,7.77
13:20:38,28.6,7.67
13:20:39,81.8,7.63
13:20:40,71.4,7.61
13:20:41,60,7.62
13:20:43,57.1,7.63
13:20:44,60,7.71
13:20:45,33.3,7.74
13:20:46,33.3,7.74
13:20:47,20,7.75
13:20:49,28.6,7.72
13:20:50,36.4,7.67
13:20:51,30.8,7.67
13:20:52,20,7.66
13:20:54,20,7.77
13:20:55,20,7.76
13:20:56,40,7.75
13:20:57,25,7.76
13:20:58,30.8,7.75
13:21:00,27.3,7.76
13:21:01,35.7,7.75
13:21:02,20,7.71
13:21:03,20,7.76
13:21:04,33.3,7.75
13:21:06,20,7.76
13:21:07,25,7.75
13:21:08,20,7.72
13:21:09,25,7.71
13:21:11,16.7,7.70
13:21:12,77.8,7.68
13:21:13,20,7.70
