Timestamp,CPU_%,Mem_Used_MB
13:15:18,62.5,15.30
13:15:19,20,15.30
13:15:20,20,15.30
13:15:21,20,15.33
13:15:22,28.6,15.30
13:15:24,33.3,15.38
13:15:25,33.3,15.38
13:15:26,20,15.35
13:15:27,28.6,15.38
13:15:29,21.4,15.38
13:15:30,23.1,15.33
13:15:31,18.2,15.35
13:15:32,25,15.35
13:15:34,33.3,15.38
13:15:35,33.3,15.38
13:15:36,28.6,15.38
13:15:37,16.7,15.38
13:15:38,33.3,15.35
13:15:40,26.7,15.30
13:15:41,31.2,15.28
13:15:42,26.7,15.30
13:15:43,25,15.30
13:15:45,20,15.33
13:15:46,20,15.33
13:15:47,33.3,15.33
13:15:48,28.6,15.35
13:15:49,62.5,15.78
13:15:51,57.1,16.07
13:15:52,50,15.88
13:15:53,28.6,15.93
13:15:54,30.8,15.96
13:15:55,33.3,15.91
13:15:57,37.5,15.88
13:15:58,40,15.91
13:15:59,40,15.91
13:16:00,33.3,15.93
13:16:01,20,15.99
13:16:03,33.3,16.04
13:16:04,20,16.17
13:16:05,33.3,15.91
13:16:06,40,15.99
13:16:08,35.7,15.99
13:16:09,20,16.04
13:16:10,83.3,16.17
13:16:12,40,16.04
13:16:13,80,16.09
13:16:14,33.3,17.75
13:16:16,55.6,19.46
13:16:17,50,19.23
13:16:18,50,19.83
13:16:19,50,19.75
13:16:21,40,19.75
13:16:22,40,19.75
13:16:23,57.1,19.75
13:16:24,50,19.07
13:16:25,42.9,20.38
13:16:27,42.9,20.41
13:16:28,75,20.41
13:16:29,57.1,20.41
13:16:30,60,20.15
13:16:31,100,22.44
13:16:33,50,22.41
13:16:34,50,22.39
13:16:35,28.6,22.36
13:16:36,100,22.52
13:16:38,60,22.60
13:16:39,66.7,20.15
13:16:40,100,20.07
13:16:42,85.7,20.91
13:16:44,85.7,20.91
13:16:45,66.7,21.68
13:16:46,85.7,21.86
13:16:47,20,21.83
13:16:49,33.3,21.81
13:16:50,100,22.28
13:16:51,60,22.28
13:16:52,66.7,22.31
13:16:53,100,26.55
13:16:55,75,25.26
13:16:56,100,25.78
13:16:57,92.3,26.07
13:16:58,80,25.23
13:17:00,100,25.73
13:17:01,100,27.73
13:17:02,100,26.71
13:17:03,33.3,26.84
13:17:05,20,26.92
13:17:06,50,27.18
13:17:07,33.3,27.18
13:17:08,28.6,27.15
13:17:10,28.6,27.15
13:17:11,20,27.05
13:17:12,50,27.02
13:17:13,33.3,26.97
13:17:14,71.4,27.05
13:17:16,55.6,26.65
13:17:17,50,27.57
13:17:18,57.1,27.31
13:17:19,66.7,28.89
13:17:20,60,28.84
13:17:22,42.9,28.81
13:17:23,16.7,28.73
13:17:24,27.3,28.58
13:17:25,28.6,28.52
13:17:27,57.1,27.86
13:17:28,16.7,27.81
13:17:29,28.6,27.81
13:17:30,18.2,27.79
13:17:31,20,27.73
13:17:33,57.1,27.71
13:17:34,33.3,27.71
13:17:35,33.3,27.68
13:17:36,71.4,27.65
13:17:37,16.7,27.52
13:17:39,42.9,27.52
13:17:40,42.9,27.55
13:17:41,16.7,27.55
13:17:42,20,27.60
13:17:43,28.6,27.55
13:17:45,28.6,27.60
13:17:46,33.3,27.57
13:17:47,60,27.60
13:17:48,42.9,27.60
13:17:49,33.3,27.57
13:17:51,33.3,27.57
13:17:52,33.3,27.60
13:17:53,20,27.60
13:17:54,20,27.57
13:17:55,28.6,27.52
13:17:57,33.3,27.55
13:17:58,25,27.52
13:17:59,16.7,27.52
13:18:00,33.3,27.55
13:18:01,33.3,27.55
13:18:03,20,27.57
13:18:04,25,27.60
13:18:05,25,27.60
13:18:06,28.6,27.57
13:18:08,71.4,27.57
13:18:09,28.6,27.55
13:18:10,20,27.60
13:18:11,50,28.31
13:18:12,33.3,29.31
13:18:14,57.1,29.23
13:18:15,50,30.13
13:18:16,20,32.37
13:18:17,66.7,33.47
13:18:18,33.3,33.50
13:18:20,33.3,33.45
13:18:21,22.2,33.34
13:18:22,91.7,33.11
13:18:23,42.9,32.97
13:18:24,33.3,32.79
13:18:26,33.3,32.68
13:18:27,20,32.58
13:18:28,50,32.42
13:18:29,42.9,32.37
13:18:30,20,32.26
13:18:32,20,32.21
13:18:33,28.6,32.13
13:18:34,33.3,32.08
13:18:35,33.3,32.08
13:18:36,20,32.00
13:18:38,33.3,29.52
13:18:39,16.7,29.39
13:18:40,30,29.37
13:18:41,18.2,29.42
13:18:43,42.9,29.39
13:18:44,30.8,29.39
13:18:45,0,29.39
13:18:46,20,29.39
13:18:47,16.7,29.37
13:18:49,16.7,29.42
13:18:50,33.3,29.42
13:18:51,28.6,29.39
13:18:52,20,29.42
13:18:54,20,29.39
13:18:55,33.3,29.39
13:18:56,60,29.34
13:18:57,21.4,29.31
13:18:58,42.9,29.29
13:19:00,20,29.44
13:19:01,20,29.47
13:19:02,42.9,29.47
13:19:03,30.8,29.47
13:19:04,30.8,29.44
13:19:06,33.3,29.44
13:19:07,33.3,29.44
13:19:08,33.3,29.47
13:19:09,42.9,29.47
13:19:11,20,29.50
13:19:12,20,29.52
13:19:13,0,29.55
13:19:14,16.7,29.63
13:19:15,16.7,29.63
13:19:17,28.6,29.65
13:19:18,36.4,29.63
13:19:19,30.8,29.63
13:19:20,33.3,29.73
13:19:21,20,29.79
13:19:23,20,29.79
13:19:24,20,29.87
13:19:25,28.6,29.89
13:19:26,20,29.87
13:19:27,20,29.79
13:19:29,20,29.81
13:19:30,28.6,29.84
13:19:31,16.7,30.00
13:19:32,33.3,30.05
13:19:33,33.3,30.08
13:19:35,20,30.08
13:19:36,27.3,30.13
13:19:37,27.3,30.16
13:19:38,23.1,30.16
13:19:40,33.3,30.23
13:19:41,28.6,30.26
13:19:42,33.3,30.34
13:19:43,28.6,30.37
13:19:44,33.3,30.39
13:19:46,25,30.42
13:19:47,42.9,30.45
13:19:48,33.3,30.50
13:19:49,20,30.60
13:19:51,33.3,30.79
13:19:52,36.4,30.79
13:19:53,20,30.89
13:19:54,20,30.92
13:19:55,33.3,30.92
13:19:57,20,30.95
13:19:58,25,30.92
13:19:59,50,30.47
13:20:00,20,31.52
13:20:01,57.1,32.31
13:20:03,33.3,34.74
13:20:04,50,34.74
13:20:05,28.6,34.66
13:20:06,28.6,34.58
13:20:07,33.3,34.40
13:20:09,20,34.32
13:20:10,27.3,34.24
13:20:11,16.7,34.16
13:20:12,37.5,34.00
13:20:13,28.6,33.90
13:20:15,16.7,33.84
13:20:16,53.3,33.79
13:20:17,0,33.74
13:20:18,28.6,33.68
13:20:20,33.3,33.58
13:20:21,42.9,33.47
13:20:22,75,33.92
13:20:23,50,33.97
13:20:24,0,34.05
13:20:26,28.6,34.11
13:20:27,47.1,34.08
13:20:28,22.2,34.05
13:20:29,50,33.63
13:20:30,50,35.21
13:20:32,100,35.00
13:20:33,50,32.31
13:20:34,50,31.29
13:20:35,62.5,32.29
13:20:37,33.3,32.16
13:20:38,50,32.03
13:20:39,20,31.89
13:20:40,33.3,31.79
13:20:41,50,31.63
13:20:43,20,31.08
13:20:44,16.7,30.95
13:20:45,28.6,30.89
13:20:46,33.3,30.87
13:20:47,28.6,30.73
13:20:49,16.7,30.73
13:20:50,20,30.71
13:20:51,20,30.66
13:20:52,33.3,30.55
13:20:53,25,30.55
13:20:55,33.3,30.50
13:20:56,33.3,30.50
13:20:57,37.5,30.52
13:20:58,20,30.52
13:21:00,30.8,30.50
13:21:01,33.3,30.55
13:21:02,28.6,30.81
13:21:03,33.3,30.55
13:21:04,20,30.55
13:21:06,28.6,30.50
13:21:07,25,30.52
13:21:08,30.8,30.60
13:21:09,46.7,30.55
13:21:11,31.2,30.52
13:21:12,62.5,30.68
13:21:13,20,30.89
13:21:14,16.7,31.02
13:21:15,66.7,31.05
13:21:17,25,31.08
13:21:18,46.2,31.13
13:21:19,25,31.08
13:21:20,33.3,31.02
13:21:22,28.6,31.02
13:21:23,20,31.18
13:21:24,57.1,31.26
13:21:25,27.3,31.31
13:21:26,50,31.29
13:21:28,20,31.31
13:21:29,42.9,31.31
13:21:30,16.7,31.34
13:21:31,16.7,31.42
13:21:33,42.9,31.21
13:21:34,20,30.58
13:21:35,20,30.50
13:21:36,33.3,30.50
13:21:37,27.3,30.42
13:21:39,46.2,30.29
13:21:40,50,30.23
13:21:41,37.5,30.10
13:21:42,0,30.13
13:21:43,42.9,30.13
13:21:45,20,30.10
13:21:46,42.9,30.05
13:21:47,20,30.02
13:21:48,20,30.05
13:21:49,30,29.97
13:21:51,28.6,29.89
13:21:52,33.3,29.89
13:21:53,20,30.02
13:21:54,16.7,29.79
13:21:56,42.9,29.76
13:21:57,27.3,29.76
13:21:58,50,29.71
13:21:59,30.8,29.71
13:22:00,20,29.73
13:22:02,33.3,29.79
13:22:03,16.7,29.79
13:22:04,33.3,29.89
13:22:05,28.6,29.87
13:22:06,42.9,29.89
13:22:08,33.3,29.92
13:22:09,16.7,29.92
13:22:10,33.3,29.89
13:22:11,33.3,29.87
13:22:12,50,29.84
13:22:14,20,30.16
13:22:15,16.7,29.81
13:22:16,44.4,29.81
13:22:17,75,29.87
13:22:19,0,29.92
13:22:20,50,29.89
13:22:21,42.9,29.87
13:22:22,33.3,29.84
13:22:23,46.7,29.81
13:22:25,20,29.76
13:22:26,33.3,29.73
13:22:27,20,29.76
13:22:28,20,29.76
13:22:29,57.1,29.73
13:22:31,20,29.76
13:22:32,20,29.81
13:22:33,20,29.81
13:22:34,55.6,29.79
13:22:35,28.6,29.87
13:22:37,33.3,29.89
13:22:38,44.4,29.89
13:22:39,33.3,29.92
13:22:40,33.3,29.89
13:22:42,20,29.89
13:22:43,33.3,29.94
13:22:44,30,29.94
13:22:45,75,29.87
13:22:46,16.7,29.87
13:22:48,16.7,29.55
13:22:49,33.3,29.55
13:22:50,30.8,29.55
13:22:51,33.3,29.63
13:22:53,28.6,29.60
13:22:54,33.3,29.55
13:22:55,42.9,29.58
13:22:56,0,29.84
13:22:57,20,29.84
13:22:59,20,29.84
13:23:00,20,29.84
13:23:01,23.1,29.84
13:23:02,16.7,29.84
13:23:03,20,29.81
13:23:05,33.3,29.84
13:23:06,20,29.89
13:23:07,20,29.94
13:23:08,33.3,29.97
13:23:09,42.9,29.94
13:23:11,20,29.94
13:23:12,33.3,29.89
13:23:13,20,30.02
13:23:14,20,30.02
13:23:15,62.5,30.08
13:23:17,22.2,30.08
13:23:18,30.8,30.05
13:23:19,22.2,30.02
13:23:20,38.5,30.00
13:23:22,35.7,30.00
13:23:23,42.9,29.92
13:23:24,22.2,29.87
13:23:25,30.8,29.87
13:23:26,42.9,29.76
13:23:28,20,29.81
13:23:29,33.3,29.81
13:23:30,50,29.81
13:23:31,46.2,29.81
13:23:33,30.8,29.79
13:23:34,35.7,29.79
13:23:35,50,29.81
13:23:36,33.3,29.79
13:23:37,16.7,29.79
13:23:39,33.3,29.84
13:23:40,33.3,29.87
13:23:41,25,29.89
13:23:42,33.3,29.89
13:23:44,33.3,29.89
13:23:45,50,30.10
13:23:46,62.5,30.45
13:23:47,57.1,30.76
13:23:48,28.6,30.76
13:23:50,33.3,30.66
