Timestamp,CPU_%,Mem_Used_MB
13:15:18,40,11.54
13:15:20,20,11.54
13:15:21,23.1,11.51
13:15:22,25,11.51
13:15:23,26.7,11.49
13:15:25,33.3,11.49
13:15:26,25,11.54
13:15:27,33.3,11.54
13:15:28,20,11.56
13:15:29,28.6,11.54
13:15:31,23.1,11.54
13:15:32,28.6,11.51
13:15:33,23.1,11.51
13:15:34,26.7,11.51
13:15:36,23.1,11.49
13:15:37,33.3,11.38
13:15:38,20,11.41
13:15:39,20,11.43
13:15:40,20,11.41
13:15:42,25,11.43
13:15:43,25,11.41
13:15:44,23.1,11.41
13:15:45,16.7,11.41
13:15:47,20,11.43
13:15:48,25,11.43
13:15:49,20,11.43
13:15:50,33.3,11.43
13:15:51,20,11.43
13:15:53,23.1,11.43
13:15:54,28.6,11.41
13:15:55,21.4,11.41
13:15:56,23.1,11.43
13:15:58,20,11.41
13:15:59,33.3,11.43
13:16:00,20,11.46
13:16:01,40,11.46
13:16:02,27.3,11.46
13:16:04,26.7,11.41
13:16:05,25,11.38
13:16:06,21.4,11.38
13:16:07,33.3,11.56
13:16:09,20,11.59
13:16:10,33.3,11.62
13:16:11,20,11.59
13:16:12,12.5,11.59
13:16:13,25,11.59
13:16:15,26.7,11.56
13:16:16,23.1,11.56
13:16:17,62.5,11.46
13:16:18,20,11.46
13:16:20,20,11.46
13:16:21,20,11.46
13:16:22,33.3,11.43
13:16:23,28.6,11.43
13:16:24,28.6,11.43
13:16:26,28.6,11.43
13:16:27,28.6,11.41
13:16:28,20,11.56
13:16:29,20,11.62
13:16:31,20,11.64
13:16:32,20,11.62
13:16:33,15.4,11.59
13:16:34,33.3,11.59
13:16:35,27.3,11.56
13:16:37,23.1,11.54
13:16:38,20,11.46
13:16:39,20,11.46
13:16:40,0,11.46
13:16:42,20,11.49
13:16:43,28.6,11.46
13:16:44,21.4,11.46
13:16:45,18.2,11.46
13:16:46,25,11.49
13:16:48,57.1,11.93
13:16:49,33.3,12.30
13:16:50,57.1,12.91
13:16:51,57.1,13.30
13:16:52,0,13.36
13:16:54,16.7,13.36
13:16:55,33.3,13.25
13:16:56,0,13.36
13:16:57,23.1,13.33
13:16:59,20,13.20
13:17:00,20,13.22
13:17:01,33.3,12.96
13:17:02,57.1,13.20
13:17:03,50,13.17
13:17:05,33.3,13.09
13:17:06,50,13.17
13:17:07,57.1,12.99
13:17:08,33.3,12.96
13:17:09,33.3,12.86
13:17:11,20,12.86
13:17:12,66.7,13.33
13:17:13,20,13.15
13:17:14,25,13.12
13:17:15,27.3,13.04
13:17:17,26.7,13.01
13:17:18,23.1,12.93
13:17:19,20,12.78
13:17:20,20,12.75
13:17:21,50,13.33
13:17:23,0,13.07
13:17:24,28.6,12.99
13:17:25,28.6,12.96
13:17:26,26.7,12.93
13:17:28,26.7,12.91
13:17:29,53.8,12.93
13:17:30,20,12.91
13:17:31,20,12.86
13:17:32,20,12.80
13:17:34,33.3,12.75
13:17:35,40,12.30
13:17:36,50,12.28
13:17:37,33.3,12.30
13:17:38,20,12.28
13:17:40,26.7,12.25
13:17:41,20,12.22
13:17:42,20,12.33
13:17:43,33.3,12.33
13:17:45,33.3,12.28
13:17:46,30.8,12.46
13:17:47,42.9,12.46
13:17:48,50,12.33
13:17:49,57.1,12.30
13:17:51,42.9,12.30
13:17:52,45.5,12.25
13:17:53,40,12.22
13:17:54,42.9,12.33
13:17:55,50,12.46
13:17:57,100,12.67
13:17:58,83.3,13.04
13:17:59,88.9,15.73
13:18:00,63.6,15.31
13:18:02,77.8,16.10
13:18:03,63.6,15.73
13:18:04,60,15.54
13:18:05,80,15.54
13:18:06,71.4,15.54
13:18:08,100,13.07
13:18:11,80,13.59
13:18:15,45.5,13.49
13:18:17,50,13.49
13:18:18,20,13.62
13:18:19,62.5,13.67
13:18:20,100,13.51
13:18:22,33.3,13.57
13:18:23,66.7,13.09
13:18:24,40,14.46
13:18:25,16.7,14.52
13:18:26,20,14.41
13:18:28,62.5,14.33
13:18:29,25,14.23
13:18:30,28.6,14.12
13:18:31,33.3,13.78
13:18:32,0,13.78
13:18:34,20,13.75
13:18:35,20,13.30
13:18:36,25,13.25
13:18:37,21.4,13.22
13:18:39,33.3,13.17
13:18:40,33.3,13.09
13:18:41,0,13.15
13:18:42,20,13.15
13:18:43,20,13.12
13:18:45,27.3,13.12
13:18:46,31.2,13.12
13:18:47,33.3,13.12
13:18:48,33.3,13.12
13:18:49,33.3,13.12
13:18:51,33.3,13.15
13:18:52,33.3,12.99
13:18:53,20,12.99
13:18:54,28.6,12.99
13:18:55,20,12.99
13:18:57,25,12.99
13:18:58,23.1,12.96
13:18:59,21.4,12.96
13:19:00,33.3,12.99
13:19:02,20,12.99
13:19:03,20,13.22
13:19:04,33.3,13.22
13:19:05,26.7,13.22
13:19:06,33.3,13.22
13:19:08,33.3,13.22
13:19:09,20,13.20
13:19:10,33.3,13.15
13:19:11,25,13.12
13:19:12,33.3,12.99
13:19:14,33.3,12.96
13:19:15,33.3,12.99
13:19:16,20,13.04
13:19:17,27.3,13.07
13:19:18,33.3,13.04
13:19:20,60,13.04
13:19:21,20,13.04
13:19:22,20,13.17
13:19:23,26.7,13.22
13:19:24,28.6,13.22
13:19:26,33.3,13.22
13:19:27,33.3,13.22
13:19:28,33.3,13.15
13:19:29,20,13.15
13:19:30,31.2,13.15
13:19:32,23.1,13.15
13:19:33,33.3,12.96
13:19:34,33.3,12.93
13:19:35,20,12.96
13:19:37,20,12.93
13:19:38,30.8,12.96
13:19:39,21.4,12.96
13:19:40,42.9,12.91
13:19:41,16.7,12.93
13:19:43,0,12.96
13:19:44,33.3,12.96
13:19:45,28.6,13.04
13:19:46,35.7,13.04
13:19:48,33.3,13.04
13:19:49,33.3,13.04
13:19:50,33.3,13.01
13:19:51,33.3,13.01
13:19:52,37.5,12.99
13:19:54,33.3,12.93
13:19:55,33.3,12.93
13:19:56,16.7,12.93
13:19:57,33.3,12.96
13:19:58,25,12.96
13:20:00,23.1,12.99
13:20:01,20,12.96
13:20:02,20,12.93
13:20:03,33.3,12.99
13:20:04,33.3,13.04
13:20:06,21.4,13.04
13:20:07,23.1,13.04
13:20:08,35.7,13.01
13:20:09,20,13.01
13:20:11,33.3,13.04
13:20:12,33.3,13.04
13:20:13,33.3,13.07
13:20:14,33.3,13.09
13:20:15,0,13.07
13:20:16,25,13.09
13:20:18,20,13.09
13:20:19,41.2,13.09
13:20:20,33.3,13.09
13:20:21,28.6,13.12
13:20:23,50,13.09
13:20:24,33.3,13.01
13:20:25,21.4,13.01
13:20:26,30,13.01
13:20:27,40,13.01
13:20:29,33.3,13.04
