Timestamp,CPU_%,Mem_Used_MB
14:15:49,8.4,16.25
14:15:50,0.9,16.26
14:15:52,0.9,16.26
14:15:53,2.2,16.27
14:15:54,0.9,16.18
14:15:55,0.9,16.20
14:15:56,1.4,16.20
14:15:57,0.9,16.20
14:15:59,0.9,16.21
14:16:00,1.8,16.22
14:16:01,0.5,16.22
14:16:02,0.9,16.22
14:16:03,5.9,16.22
14:16:04,1.8,16.24
14:16:06,1.4,16.24
14:16:07,0.5,16.25
14:16:08,0.9,16.25
14:16:09,0.9,16.25
14:16:10,0.9,16.25
14:16:11,0.5,16.25
14:16:12,0.9,16.25
14:16:14,0.5,16.26
14:16:15,1.3,16.25
14:16:16,1.8,16.25
14:16:17,0.9,16.26
14:16:18,7.2,16.26
14:16:19,8.1,16.40
14:16:21,1.4,16.79
14:16:22,0.9,16.47
14:16:23,1.3,16.38
14:16:24,9.4,16.38
14:16:25,1.4,16.38
14:16:26,0.9,16.38
14:16:28,1.8,16.38
14:16:29,1.8,16.38
14:16:30,0.9,16.38
14:16:31,0.9,16.38
14:16:32,0.9,16.38
14:16:33,0.9,16.30
14:16:35,0.5,16.31
14:16:36,1.8,16.32
14:16:37,0.5,16.33
14:16:38,1.8,16.33
14:16:39,1.3,16.34
14:16:40,0.9,16.34
14:16:42,2.2,16.34
14:16:43,1.4,16.34
14:16:44,1.4,16.31
14:16:45,0.9,16.31
14:16:46,0.9,16.31
14:16:47,1.3,16.32
14:16:49,1.3,16.32
14:16:50,1.8,16.31
14:16:51,0.9,16.31
14:16:52,0.9,16.31
14:16:53,2.7,16.32
14:16:54,2.7,16.33
14:16:56,0.5,16.33
14:16:57,2.2,16.33
14:16:58,0.5,16.33
14:16:59,0.9,16.34
14:17:00,0.9,16.34
14:17:01,0.9,16.33
14:17:03,2.3,16.28
14:17:04,1.3,16.34
14:17:05,2.3,16.36
14:17:06,0.9,16.37
14:17:07,0.9,16.37
14:17:08,1.8,16.37
14:17:10,0.5,16.28
14:17:11,1.8,16.31
14:17:12,2.7,16.31
14:17:13,1.8,16.36
14:17:14,5.4,16.38
14:17:15,4.1,16.41
14:17:17,1.3,16.43
14:17:18,0.9,16.42
14:17:19,0.9,16.43
14:17:20,0.9,16.43
14:17:21,1.4,16.43
14:17:22,3.2,16.43
14:17:24,1.4,16.35
14:17:25,0.5,16.36
14:17:26,0.9,16.37
14:17:27,0.9,16.38
14:17:28,1.4,16.56
14:17:29,0.9,16.56
14:17:31,0.9,16.56
14:17:32,0.9,16.56
14:17:33,1.4,16.56
14:17:34,1.8,16.59
14:17:35,0,16.60
14:17:36,0.5,16.60
14:17:38,3.2,16.60
14:17:39,0.9,16.61
14:17:40,1.3,16.61
14:17:41,1.4,16.62
14:17:42,2.7,16.72
14:17:43,0.9,16.72
14:17:45,0.9,16.74
14:17:46,1.4,16.74
14:17:47,1.8,16.75
14:17:48,0.9,16.75
14:17:49,0.9,16.76
14:17:50,0.5,16.76
14:17:52,0.9,16.76
14:17:53,0.9,16.77
14:17:54,0,16.71
14:17:55,0.5,16.70
14:17:56,1.4,16.72
14:17:57,1.3,16.72
14:17:59,1.8,16.72
14:18:00,1.3,16.73
14:18:01,5.9,16.74
14:18:02,1.3,16.74
14:18:03,4.6,16.72
14:18:04,0.9,16.67
14:18:06,1.8,16.67
14:18:07,0.9,16.68
14:18:08,1.4,16.69
14:18:09,1.4,16.69
14:18:10,0.9,16.70
14:18:11,1.3,16.71
14:18:13,1.8,16.72
14:18:14,2.7,16.68
14:18:15,1.4,16.70
14:18:16,1.4,16.70
14:18:17,0.9,16.70
14:18:18,6.2,16.70
14:18:20,0.5,16.71
14:18:21,0.9,16.71
14:18:22,0.9,16.71
14:18:23,1.4,16.71
14:18:24,0.9,16.67
14:18:25,0.9,16.67
14:18:27,0.9,16.67
14:18:28,0.9,16.68
14:18:29,0.9,16.69
14:18:30,0,16.69
14:18:31,2.3,16.70
14:18:32,0.9,16.70
14:18:34,0.5,16.71
14:18:35,1.4,16.72
14:18:36,1.8,16.73
14:18:37,1.4,16.73
14:18:38,0.9,16.74
14:18:39,1.3,16.74
14:18:40,1.3,16.74
14:18:42,0.5,16.76
14:18:43,0.5,16.76
14:18:44,0.9,16.74
14:18:45,0.5,16.75
14:18:46,2.2,16.75
14:18:47,0.9,16.81
14:18:49,1.4,16.81
14:18:50,1.4,16.81
14:18:51,1.8,16.83
14:18:52,1.4,16.84
14:18:53,0.9,16.81
14:18:54,0,16.83
14:18:56,0.9,16.83
14:18:57,1.3,16.84
14:18:58,9.8,16.58
14:18:59,0.9,16.75
14:19:00,5,16.87
14:19:01,3.2,16.85
14:19:03,1.4,16.86
14:19:04,1.4,16.86
14:19:05,1.4,16.85
14:19:06,8,16.87
14:19:07,1.8,16.88
14:19:08,1.4,16.88
14:19:10,0.5,16.88
14:19:11,1.3,16.88
14:19:12,8.1,16.88
14:19:13,4.9,16.86
14:19:14,1.3,16.82
14:19:15,0.5,16.83
14:19:17,0.5,16.83
14:19:18,0.5,16.83
14:19:19,0.5,16.83
14:19:20,1.4,16.84
14:19:21,1.3,16.85
14:19:22,1.4,16.85
14:19:24,2.2,16.85
14:19:25,0.9,16.85
14:19:26,8.1,16.87
14:19:27,1.4,16.86
14:19:28,0.9,16.86
14:19:29,0.9,16.86
14:19:31,0.5,16.88
14:19:32,1.3,16.88
14:19:33,0.9,16.88
14:19:34,2.3,16.85
14:19:35,0.5,16.85
14:19:36,7.2,16.85
14:19:38,0.5,16.86
14:19:39,1.8,16.86
14:19:40,1.8,16.86
14:19:41,0.9,16.88
14:19:42,2.3,16.88
14:19:43,1.3,16.83
14:19:45,0.9,16.84
14:19:46,0.9,16.85
14:19:47,1.4,16.85
14:19:48,1.4,16.85
14:19:49,0.5,16.85
14:19:50,0.5,16.85
14:19:52,0.9,16.85
14:19:53,4,16.73
14:19:54,0.9,16.87
14:19:55,1.3,16.77
14:19:56,1.4,16.77
14:19:57,0.9,16.77
14:19:59,0.9,16.77
14:20:00,1.4,16.77
14:20:01,0.9,16.76
14:20:02,1.4,16.76
14:20:03,6.2,16.69
14:20:04,0.9,16.71
14:20:06,2.7,16.71
14:20:07,1.4,16.72
14:20:08,1.4,16.72
14:20:09,0.9,16.72
14:20:10,1.4,16.72
14:20:11,0.9,16.52
14:20:13,1.4,16.52
14:20:14,0.5,16.51
14:20:15,1.4,16.52
14:20:16,0.9,16.52
14:20:17,2.2,16.53
14:20:18,0.9,16.52
14:20:20,1.4,16.51
14:20:21,1.8,16.53
14:20:22,0.9,16.53
14:20:23,1.4,16.53
14:20:24,3.1,16.47
14:20:25,1.8,16.47
14:20:27,0.9,16.47
14:20:28,1.8,16.47
14:20:29,0.9,16.48
14:20:30,2.3,16.48
14:20:31,0.9,16.49
14:20:32,0.9,16.49
14:20:34,0.9,16.43
14:20:35,0.9,16.46
14:20:36,0.9,16.47
14:20:37,0.5,16.47
14:20:38,1.3,16.47
14:20:39,0,16.48
14:20:41,0.9,16.53
14:20:42,1.4,16.53
14:20:43,1.4,16.54
14:20:44,0.9,16.52
14:20:45,1.4,16.52
14:20:46,1.4,16.53
14:20:48,4.5,16.53
14:20:49,1.8,16.54
14:20:50,0.9,16.54
14:20:51,5.8,16.20
14:20:52,1.4,16.48
14:20:53,1.8,16.53
14:20:55,0.9,16.55
14:20:56,0.9,16.55
14:20:57,1.4,16.56
14:20:58,0.9,16.56
14:20:59,0.9,16.55
14:21:00,1.3,16.55
14:21:02,0.9,16.58
14:21:03,0.9,16.50
14:21:04,0.9,16.46
14:21:05,1.4,16.49
14:21:06,9,16.49
14:21:07,1.4,16.57
14:21:08,0.9,16.61
14:21:10,0.9,16.63
14:21:11,0.9,16.65
14:21:12,0.9,16.65
14:21:13,4.6,16.55
14:21:14,6.4,16.57
14:21:15,0.5,16.58
14:21:17,1.4,16.58
14:21:18,1.4,16.58
14:21:19,0.9,16.59
14:21:20,2.3,16.58
14:21:21,1.8,16.59
14:21:22,0.9,16.58
14:21:24,0.5,16.61
14:21:25,1.4,16.56
14:21:26,0.5,16.61
14:21:27,1.8,16.62
14:21:28,1.8,16.60
14:21:29,1.3,16.54
14:21:31,0.9,16.59
14:21:32,1.4,16.59
14:21:33,3.2,16.53
14:21:34,1.8,16.50
14:21:35,1.8,16.51
14:21:36,7.7,16.32
14:21:38,2.7,16.43
14:21:39,0.9,16.58
14:21:40,6.7,16.59
14:21:41,1.3,16.60
14:21:42,2.3,16.42
14:21:43,0.9,16.53
14:21:45,1.3,16.54
14:21:46,0.5,16.56
14:21:47,0.5,16.56
14:21:48,0.5,16.56
14:21:49,2.3,16.53
14:21:50,0.9,16.54
14:21:52,5.4,16.51
14:21:53,0.9,16.52
14:21:54,0.9,16.41
14:21:55,1.8,16.49
14:21:56,0.9,16.49
14:21:57,2.7,16.38
14:21:59,1.8,16.46
14:22:00,0.5,16.52
14:22:01,2.2,16.51
14:22:02,0.5,16.51
14:22:03,4,16.45
14:22:04,1.4,16.46
14:22:06,2.7,16.47
14:22:07,0.5,15.91
14:22:08,1.3,15.92
14:22:09,1.4,15.92
14:22:10,2.3,15.92
14:22:11,0.9,15.91
14:22:13,8.1,15.92
14:22:14,1.3,15.84
14:22:15,0.9,15.86
14:22:16,1.4,15.87
14:22:17,1.4,15.87
14:22:18,0.5,15.87
14:22:20,0.9,15.87
14:22:21,0.9,15.88
14:22:22,0.5,15.89
14:22:23,1.4,15.89
14:22:24,2.2,15.86
14:22:25,1.8,15.86
14:22:27,0.5,15.88
14:22:28,2.2,15.88
14:22:29,1.4,16.23
14:22:30,0.9,16.24
14:22:31,1.4,16.26
14:22:32,0,16.27
14:22:34,0.5,16.22
14:22:35,0.5,16.24
14:22:36,0.5,16.25
14:22:37,0,16.24
14:22:38,1.3,16.25
14:22:39,0.9,16.25
14:22:41,1.4,16.25
14:22:42,0.9,16.25
14:22:43,1.4,16.25
14:22:44,3.1,16.21
14:22:45,3.6,16.21
14:22:46,0.5,16.21
14:22:48,1.3,16.21
14:22:49,0.5,16.31
14:22:50,0.9,16.31
14:22:51,1.8,16.33
14:22:52,0.9,16.33
14:22:53,0.9,16.30
14:22:55,0,16.32
14:22:56,0.9,16.33
14:22:57,0.5,16.33
14:22:58,6.4,16.34
14:22:59,1.4,16.34
14:23:00,2.7,16.34
14:23:02,1.4,16.34
14:23:03,0.9,16.34
14:23:04,1.3,16.34
14:23:05,1.8,16.36
14:23:06,1.3,16.36
14:23:07,1.3,16.36
