Timestamp,CPU_%,Mem_Used_MB
15:57:27,37.5,6.11
15:57:28,20,6.11
15:57:30,33.3,6.14
15:57:31,20,6.12
15:57:32,27.3,6.12
15:57:33,20,6.25
15:57:34,33.3,6.25
15:57:36,42.9,6.24
15:57:37,20,6.21
15:57:38,27.3,6.21
15:57:39,25,6.19
15:57:40,30.8,6.19
15:57:42,25,6.16
15:57:43,33.3,6.16
15:57:44,33.3,6.15
15:57:45,25,6.16
15:57:46,33.3,6.14
15:57:48,23.1,6.12
15:57:49,42.9,6.11
15:57:50,33.3,6.11
15:57:51,20,6.11
15:57:53,20,6.10
15:57:54,20,6.07
15:57:55,20,6.10
15:57:56,20,6.10
15:57:57,33.3,6.09
15:57:58,25,6.09
15:58:00,33.3,6.11
15:58:01,33.3,6.10
15:58:02,30.8,6.10
15:58:03,20,6.16
15:58:05,33.3,6.16
15:58:06,20,6.16
15:58:07,20,6.16
15:58:08,30.8,6.16
15:58:10,25,6.15
15:58:11,25,6.15
15:58:12,35.7,6.14
15:58:13,35.7,6.16
15:58:14,20,6.16
15:58:16,20,6.18
15:58:17,33.3,6.16
15:58:18,33.3,6.15
15:58:19,30.8,6.15
15:58:20,25,6.14
15:58:22,33.3,6.15
15:58:23,20,6.14
15:58:24,33.3,6.07
15:58:25,33.3,6.07
15:58:27,25,6.10
15:58:28,30.8,6.09
15:58:29,33.3,6.07
15:58:30,25,6.07
15:58:32,25,6.07
15:58:33,30.8,6.06
15:58:34,20,6.11
15:58:35,20,6.12
15:58:36,20,6.11
15:58:38,20,6.11
15:58:39,33.3,6.12
15:58:40,27.3,6.11
15:58:41,25,6.11
15:58:42,25,6.11
15:58:44,30,6.11
15:58:45,20,6.04
15:58:46,25,6.05
15:58:47,0,6.05
15:58:49,20,6.05
15:58:50,27.3,6.05
15:58:51,27.3,6.05
15:58:52,27.3,6.05
15:58:53,27.3,6.05
15:58:55,40,6.07
15:58:56,40,6.10
15:58:57,20,6.15
15:58:58,40,6.15
15:58:59,36.4,6.16
15:59:01,28.6,6.19
15:59:02,33.3,6.20
15:59:03,20,6.21
