Timestamp,CPU_%,Mem_Used_MB
16:29:36,80,12.14
16:29:37,20,12.14
16:29:39,33.3,12.11
16:29:40,20,12.17
16:29:41,15.4,12.17
16:29:42,23.1,12.14
16:29:43,28.6,12.17
16:29:45,23.1,12.17
16:29:46,21.4,12.19
16:29:47,23.1,12.19
16:29:48,23.1,12.19
16:29:50,28.6,12.19
16:29:51,25,12.17
16:29:52,33.3,12.17
16:29:53,40,12.33
16:29:55,20,12.35
16:29:56,28.6,12.33
16:29:57,23.1,12.30
16:29:58,28.6,12.27
16:29:59,23.1,12.30
16:30:01,66.7,12.22
16:30:02,42.9,12.22
16:30:03,0,12.25
16:30:04,40,12.25
16:30:05,33.3,12.25
16:30:07,50,12.35
16:30:08,20,12.40
16:30:09,42.9,12.46
16:30:10,33.3,12.46
16:30:11,33.3,12.62
16:30:13,20,12.69
16:30:14,20,12.69
16:30:15,42.9,12.59
16:30:16,25,12.46
16:30:17,37.5,12.43
16:30:19,50,12.46
16:30:20,37.5,12.38
16:30:21,66.7,12.64
16:30:22,33.3,12.43
16:30:24,33.3,12.40
16:30:25,50,12.40
16:30:26,20,12.38
16:30:27,20,12.43
16:30:28,0,12.43
16:30:30,50,12.46
16:30:31,50,12.54
16:30:32,20,12.51
16:30:33,57.1,17.20
16:30:34,57.1,16.62
16:30:36,63.6,16.83
16:30:37,60,16.80
16:30:38,40,16.75
16:30:39,50,16.75
16:30:41,50,16.78
16:30:42,40,15.06
16:30:43,57.1,17.43
16:30:44,50,17.46
16:30:45,50,17.46
16:30:47,66.7,17.49
16:30:48,50,17.49
16:30:50,88.9,17.57
16:30:51,57.1,17.78
16:30:52,100,17.59
16:30:53,85.7,19.49
16:30:55,42.9,19.75
16:30:56,57.1,19.99
16:30:57,26.7,20.04
16:30:58,100,19.75
16:31:00,85.7,20.52
16:31:01,33.3,20.49
16:31:02,50,20.52
16:31:03,100,20.65
16:31:04,66.7,20.46
16:31:06,50,20.46
16:31:07,100,21.57
16:31:08,100,22.62
16:31:09,33.3,22.78
16:31:10,20,22.81
16:31:12,20,22.78
16:31:13,42.9,22.65
16:31:14,0,22.57
16:31:15,20,22.54
16:31:16,33.3,22.47
16:31:18,25,22.47
16:31:19,20,22.36
16:31:20,33.3,23.23
16:31:21,33.3,23.44
16:31:22,33.3,23.57
16:31:24,16.7,23.68
16:31:25,57.1,23.70
16:31:26,66.7,23.44
16:31:27,66.7,23.28
16:31:29,40,23.23
16:31:30,33.3,23.12
16:31:31,40,24.15
16:31:32,33.3,24.05
16:31:33,40,24.26
16:31:35,33.3,24.26
16:31:36,87.5,27.15
16:31:37,62.5,26.99
16:31:38,60,27.02
16:31:39,90.9,27.63
16:31:41,92.3,28.86
16:31:42,75,28.36
16:31:43,100,29.84
16:31:44,100,30.31
16:31:46,100,30.37
16:31:47,71.4,30.10
16:31:48,83.3,30.18
16:31:49,83.3,29.13
16:31:51,92.3,30.10
16:31:53,80,30.71
16:31:55,100,29.34
16:31:57,88.9,28.60
16:31:58,100,28.36
16:31:59,86.7,28.36
16:32:00,50,28.36
16:32:02,80,28.36
16:32:03,50,28.58
16:32:04,66.7,28.71
16:32:05,40,28.63
16:32:06,88.9,28.07
16:32:08,40,28.05
16:32:09,57.1,27.92
16:32:10,60,28.02
16:32:11,20,27.97
16:32:13,20,27.92
16:32:14,28.6,27.89
16:32:15,28.6,27.65
16:32:16,81.8,31.13
16:32:17,50,32.47
16:32:19,33.3,33.18
16:32:20,25,33.21
16:32:21,33.3,32.39
16:32:22,28.6,31.66
16:32:23,50,31.60
16:32:25,90.9,31.31
16:32:26,20,31.26
16:32:27,20,30.95
16:32:28,33.3,30.66
16:32:29,42.9,30.60
16:32:31,27.3,30.58
16:32:32,28.6,30.45
16:32:33,33.3,30.37
16:32:34,33.3,30.23
16:32:36,16.7,30.13
16:32:37,33.3,30.13
16:32:38,25,30.16
16:32:39,16.7,30.16
16:32:40,16.7,30.18
16:32:42,33.3,30.13
16:32:43,42.9,30.16
16:32:44,25,30.21
16:32:45,57.1,30.18
16:32:46,50,30.18
16:32:48,33.3,30.21
16:32:49,16.7,30.23
16:32:50,20,30.13
16:32:51,25,30.10
16:32:53,33.3,30.08
16:32:54,40,30.18
16:32:55,33.3,30.18
16:32:56,66.7,30.39
16:32:57,60,30.66
16:32:59,33.3,30.71
16:33:00,45.5,30.89
16:33:01,28.6,30.92
16:33:02,33.3,30.89
16:33:03,20,30.87
16:33:05,33.3,30.87
16:33:06,20,30.81
16:33:07,33.3,30.92
16:33:08,100,31.05
16:33:09,20,31.08
16:33:11,30.8,31.08
16:33:12,20,31.13
16:33:13,33.3,31.26
16:33:14,20,31.47
16:33:16,0,31.52
16:33:17,20,31.89
16:33:18,33.3,31.89
16:33:19,20,31.87
16:33:20,33.3,31.81
16:33:22,25,31.84
16:33:23,38.5,31.87
16:33:24,33.3,31.89
16:33:25,33.3,31.89
16:33:26,42.9,31.87
16:33:28,20,31.95
16:33:29,60,31.97
16:33:30,33.3,31.97
16:33:31,20,32.00
16:33:32,20,32.03
16:33:34,20,32.00
16:33:35,30.8,32.00
16:33:36,40,32.05
16:33:37,20,32.21
16:33:39,20,32.34
16:33:40,33.3,32.34
16:33:41,28.6,32.37
16:33:42,35.7,32.37
16:33:43,20,32.42
16:33:45,26.7,32.42
16:33:46,28.6,32.42
16:33:47,33.3,32.39
16:33:48,20,32.45
16:33:49,16.7,32.47
16:33:51,28.6,32.50
16:33:52,27.3,32.47
16:33:53,30.8,32.47
16:33:54,33.3,32.55
16:33:56,37.5,32.55
16:33:57,75,32.63
16:33:58,20,32.60
16:33:59,28.6,32.63
16:34:00,62.5,33.03
16:34:02,26.7,33.03
16:34:03,22.2,33.03
16:34:04,27.3,32.97
16:34:05,20,32.97
16:34:07,33.3,32.95
16:34:08,100,32.24
16:34:09,20,30.10
16:34:10,25,29.92
16:34:12,20,29.84
16:34:13,33.3,29.79
16:34:14,33.3,29.81
16:34:15,0,29.73
16:34:16,30.8,29.65
16:34:18,16.7,29.50
16:34:19,33.3,29.55
16:34:20,16.7,29.55
16:34:21,16.7,29.52
16:34:22,33.3,29.52
16:34:24,30.8,29.29
16:34:25,66.7,29.26
16:34:26,62.5,29.23
16:34:27,42.9,29.15
16:34:29,33.3,29.26
16:34:30,20,29.23
16:34:31,50,29.21
16:34:32,33.3,29.23
16:34:33,16.7,29.21
16:34:35,16.7,29.18
16:34:36,30.8,29.15
16:34:37,20,29.13
16:34:38,33.3,29.08
16:34:39,33.3,29.08
16:34:41,42.9,29.10
16:34:42,27.3,29.10
16:34:43,27.3,29.10
16:34:44,33.3,29.05
16:34:46,25,29.10
16:34:47,22.2,29.10
16:34:48,27.3,29.23
16:34:49,20,29.23
16:34:50,20,29.23
16:34:52,20,29.23
16:34:53,16.7,29.23
16:34:54,42.9,29.23
16:34:55,57.1,29.13
16:34:57,23.1,28.76
16:34:58,18.2,28.76
16:34:59,33.3,28.68
16:35:00,0,28.71
16:35:01,20,28.81
16:35:03,20,28.86
16:35:04,22.2,28.89
16:35:05,33.3,28.84
16:35:06,20,28.81
16:35:08,0,28.79
16:35:09,33.3,28.84
16:35:10,28.6,28.84
16:35:11,27.3,28.86
16:35:12,16.7,28.84
16:35:14,33.3,28.84
16:35:15,20,28.84
16:35:16,33.3,28.84
16:35:17,0,28.89
16:35:18,20,28.86
16:35:20,50,13.27
16:35:21,60,13.33
16:35:22,60,12.88
16:35:23,20,12.83
16:35:24,33.3,12.72
16:35:26,28.6,12.69
16:35:27,21.4,12.64
16:35:28,26.7,12.59
16:35:29,33.3,12.27
16:35:31,33.3,12.25
16:35:32,33.3,12.25
16:35:33,33.3,12.22
16:35:34,33.3,12.27
16:35:35,25,12.27
16:35:37,23.1,12.27
16:35:38,28.6,12.25
16:35:39,30.8,12.25
16:35:40,20,12.35
16:35:42,20,12.33
16:35:43,33.3,12.30
16:35:44,33.3,12.30
16:35:45,23.1,12.30
16:35:46,21.4,12.27
16:35:48,23.1,12.30
16:35:49,23.1,12.30
16:35:50,20,12.27
16:35:51,33.3,12.25
16:35:53,20,12.22
16:35:54,20,12.25
