Timestamp,CPU_%,Mem_Used_MB
16:11:52,80,11.54
16:11:53,20,11.56
16:11:55,25,11.85
16:11:56,20,11.85
16:11:57,28.6,11.83
16:11:58,28.6,11.78
16:11:59,27.3,11.75
16:12:01,23.1,11.72
16:12:02,25,11.67
16:12:03,28.6,11.62
16:12:04,20,11.59
16:12:06,20,11.59
16:12:07,0,11.62
16:12:08,20,11.62
16:12:09,25,11.62
16:12:10,28.6,11.62
16:12:12,28.6,11.59
16:12:13,28.6,11.56
16:12:14,50,11.59
16:12:15,25,11.59
16:12:17,20,11.56
16:12:18,33.3,11.56
16:12:19,20,11.51
16:12:20,21.4,11.54
16:12:22,28.6,11.54
16:12:23,28.6,11.54
16:12:24,20,11.49
16:12:25,33.3,11.54
16:12:26,33.3,11.56
16:12:28,42.9,11.56
16:12:29,28.6,11.56
16:12:30,23.1,11.54
16:12:31,28.6,11.49
16:12:33,23.1,11.51
16:12:34,30.8,11.49
16:12:35,25,11.41
16:12:36,25,11.46
16:12:37,20,11.51
16:12:39,0,11.51
16:12:40,33.3,11.51
16:12:41,23.1,11.51
16:12:42,28.6,11.54
16:12:44,28.6,11.51
16:12:45,30.8,11.49
16:12:46,25,11.51
16:12:47,33.3,11.51
16:12:48,25,11.51
16:12:50,33.3,11.59
16:12:51,23.1,11.59
16:12:52,23.1,11.56
16:12:53,28.6,11.59
16:12:55,28.6,11.59
16:12:56,20,11.51
16:12:57,20,11.51
16:12:58,20,11.51
16:12:59,0,11.51
16:13:01,21.4,11.51
16:13:02,23.1,11.49
16:13:03,27.3,11.46
16:13:04,28.6,11.46
16:13:06,53.3,11.43
16:13:07,33.3,11.43
16:13:08,33.3,11.43
16:13:09,25,11.43
16:13:10,20,11.49
16:13:12,18.2,11.49
16:13:13,16.7,11.51
16:13:14,20,11.64
16:13:15,33.3,11.70
16:13:16,20,11.72
16:13:18,20,11.75
16:13:19,33.3,11.78
16:13:20,25,11.80
16:13:21,33.3,11.83
16:13:22,20,11.85
16:13:24,20,11.83
16:13:25,33.3,11.93
16:13:26,60,11.83
16:13:27,33.3,11.83
16:13:28,16.7,11.83
16:13:30,22.2,11.85
16:13:31,30,11.83
16:13:32,33.3,11.85
16:13:33,30,11.80
16:13:35,30,11.83
16:13:36,30,11.85
16:13:37,42.9,11.83
16:13:38,16.7,11.83
16:13:39,33.3,11.80
16:13:41,33.3,11.78
16:13:42,30,11.83
16:13:43,33.3,11.80
16:13:44,38.5,11.80
16:13:46,23.1,11.80
16:13:47,20,11.85
16:13:48,33.3,11.91
16:13:49,33.3,11.88
16:13:50,20,11.88
16:13:52,33.3,11.88
16:13:53,33.3,11.88
16:13:54,20,11.85
16:13:55,20,11.85
16:13:56,33.3,11.80
16:13:58,20,11.75
16:13:59,23.1,11.78
16:14:00,30,11.85
16:14:01,23.1,11.85
16:14:03,25,11.83
16:14:04,20,11.80
16:14:05,30,11.78
16:14:06,27.3,11.78
16:14:08,20,11.72
16:14:09,20,11.75
16:14:10,33.3,11.80
16:14:11,20,11.78
16:14:12,22.2,11.78
16:14:14,36.4,11.72
16:14:15,33.3,11.78
16:14:16,36.4,11.70
16:14:17,57.1,11.88
16:14:19,40,11.83
16:14:20,20,11.78
16:14:21,50,11.78
16:14:22,42.9,11.93
16:14:23,60,12.09
16:14:25,77.8,15.57
16:14:26,62.5,15.31
16:14:27,75,15.75
16:14:31,77.8,15.78
16:14:32,80,15.75
16:14:36,33.3,13.46
16:14:37,20,13.51
16:14:38,33.3,13.62
16:14:39,50,13.62
16:14:41,0,13.57
16:14:42,20,14.59
16:14:43,61.5,14.57
16:14:44,20,14.52
16:14:45,20,14.52
16:14:47,40,14.52
16:14:48,83.3,14.46
16:14:49,33.3,14.86
16:14:50,20,14.94
16:14:51,33.3,14.83
16:14:53,16.7,14.86
16:14:54,23.1,14.83
16:14:55,33.3,14.88
16:14:56,16.7,14.94
16:14:57,20,14.88
16:14:59,85.7,14.62
16:15:00,50,15.31
16:15:01,50,15.91
16:15:02,50,16.28
16:15:03,57.1,16.12
16:15:05,60,16.54
16:15:06,50,16.57
16:15:07,50,16.39
16:15:08,40,16.02
16:15:09,33.3,15.44
16:15:11,87.5,15.23
16:15:12,40,15.41
16:15:13,20,14.52
16:15:14,50,14.52
16:15:17,40,14.36
16:15:18,20,14.44
16:15:19,40,15.31
16:15:20,20,14.36
16:15:21,68.8,14.33
16:15:23,33.3,14.28
16:15:24,16.7,14.28
16:15:25,83.3,15.17
16:15:26,57.1,15.36
16:15:28,37.5,15.02
16:15:29,16.7,14.88
16:15:30,20,14.81
16:15:31,20,14.78
16:15:32,33.3,14.83
16:15:34,26.7,14.83
16:15:35,20,14.81
16:15:36,33.3,14.78
16:15:37,33.3,14.78
16:15:38,33.3,14.75
16:15:40,20,14.99
16:15:41,33.3,14.99
16:15:42,20,14.96
16:15:43,20,14.91
16:15:44,20,14.88
16:15:46,26.7,14.83
16:15:47,33.3,14.81
16:15:48,33.3,14.75
16:15:49,33.3,14.78
16:15:50,33.3,14.70
16:15:52,26.7,14.70
16:15:53,20,14.70
16:15:54,20,14.70
16:15:55,20,14.70
16:15:56,20,14.70
16:15:58,30.8,14.70
16:15:59,21.4,14.70
16:16:00,20,14.75
16:16:01,20,14.75
16:16:03,50,14.70
16:16:04,20,14.70
16:16:05,26.7,14.67
16:16:06,23.1,14.67
16:16:07,23.1,14.62
16:16:09,23.1,14.65
16:16:10,20,14.88
16:16:11,33.3,14.59
16:16:12,33.3,14.67
16:16:14,0,14.70
16:16:15,25,14.73
16:16:16,28.6,14.70
16:16:17,33.3,14.70
16:16:18,20,14.75
16:16:20,25,14.75
16:16:21,0,14.86
16:16:22,21.4,14.88
16:16:23,25,14.88
16:16:24,25,14.88
16:16:26,20,14.88
16:16:27,20,14.88
16:16:28,33.3,14.88
16:16:29,20,14.88
16:16:31,42.9,14.91
16:16:32,16.7,14.94
16:16:33,0,14.94
16:16:34,20,14.94
16:16:35,20,14.94
16:16:37,28.6,14.94
16:16:38,33.3,14.30
16:16:39,28.6,14.28
16:16:40,33.3,14.30
16:16:41,20,14.15
16:16:43,20,14.15
16:16:44,20,14.15
16:16:45,42.9,14.17
16:16:46,33.3,14.17
16:16:47,25,14.17
16:16:49,26.7,14.15
16:16:50,18.2,14.15
16:16:51,66.7,14.15
16:16:52,20,14.17
16:16:54,20,14.17
16:16:55,33.3,14.17
16:16:56,33.3,14.20
16:16:57,30.8,14.17
16:16:58,37.5,14.15
16:17:00,33.3,14.20
16:17:01,20,14.17
16:17:02,20,14.20
16:17:03,20,14.20
16:17:04,23.1,14.20
16:17:06,25,14.23
16:17:07,21.4,14.23
16:17:08,33.3,14.28
16:17:09,20,14.25
16:17:11,20,14.25
16:17:12,20,14.15
16:17:13,30.8,14.15
16:17:14,21.4,14.15
16:17:15,25,14.17
16:17:17,21.4,14.17
16:17:18,20,14.17
16:17:19,33.3,14.20
16:17:20,20,14.17
16:17:22,20,14.17
16:17:23,27.3,14.20
16:17:24,25,14.28
16:17:25,23.1,14.30
16:17:26,20,14.23
16:17:28,33.3,14.23
16:17:29,57.1,12.09
16:17:30,50,12.22
16:17:31,20,12.14
16:17:32,20,11.83
16:17:34,20,11.80
16:17:35,20,11.83
16:17:36,25,11.80
16:17:37,21.4,11.80
16:17:39,28.6,11.78
16:17:40,23.1,11.72
16:17:41,23.1,11.70
16:17:42,36.4,11.80
16:17:43,20,11.83
16:17:45,20,11.80
16:17:46,20,11.80
16:17:47,33.3,11.75
16:17:48,26.7,11.72
16:17:50,28.6,11.70
16:17:51,26.7,11.67
16:17:52,16.7,11.67
16:17:53,20,11.83
16:17:54,33.3,11.83
16:17:56,20,11.80
16:17:57,20,11.83
16:17:58,28.6,11.80
16:17:59,25,11.80
16:18:01,23.1,11.80
16:18:02,27.3,11.78
16:18:03,20,11.64
16:18:04,0,11.62
16:18:05,25,11.62
16:18:07,20,11.59
16:18:08,33.3,11.59
16:18:09,21.4,11.56
